cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
common,fpca256_4,raw100,52,10,2,sensitivity,0.1428571428571429
common,fpca256_4,raw100,52,10,2,specificity,-0.27272727272727276
common,fpca256_4,raw100,53,10,3,roc_auc,0.011904761904761973
common,fpca256_4,raw100,53,10,3,sensitivity,0.1428571428571428
common,fpca256_4,raw100,53,10,3,specificity,0.0
common,fpca256_4,raw100,54,10,4,roc_auc,0.03007518796992492
common,fpca256_4,raw100,54,10,4,sensitivity,0.1428571428571429
common,fpca256_4,raw100,54,10,4,specificity,-0.15789473684210525
common,fpca256_4,raw100,55,11,0,roc_auc,-0.09333333333333327
common,fpca256_4,raw100,55,11,0,sensitivity,-0.06666666666666665
common,fpca256_4,raw100,55,11,0,specificity,-0.2
common,fpca256_4,raw100,56,11,1,roc_auc,0.025210084033613356
common,fpca256_4,raw100,56,11,1,sensitivity,0.0714285714285714
common,fpca256_4,raw100,56,11,1,specificity,-0.05882352941176472
common,fpca256_4,raw100,57,11,2,roc_auc,0.07499999999999996
common,fpca256_4,raw100,57,11,2,sensitivity,-0.07142857142857151
common,fpca256_4,raw100,57,11,2,specificity,-0.1
common,fpca256_4,raw100,58,11,3,roc_auc,-0.06349206349206349
common,fpca256_4,raw100,58,11,3,sensitivity,0.0714285714285714
common,fpca256_4,raw100,58,11,3,specificity,-0.11111111111111113
common,fpca256_4,raw100,59,11,4,roc_auc,-0.09311740890688258
common,fpca256_4,raw100,59,11,4,sensitivity,0.15384615384615385
common,fpca256_4,raw100,59,11,4,specificity,-0.10526315789473684
common,fpca256_4,raw100,60,12,0,roc_auc,0.1450980392156862
common,fpca256_4,raw100,60,12,0,sensitivity,0.1333333333333333
common,fpca256_4,raw100,60,12,0,specificity,-0.11764705882352944
common,fpca256_4,raw100,61,12,1,roc_auc,-0.022556390977443552
common,fpca256_4,raw100,61,12,1,sensitivity,0.0714285714285714
common,fpca256_4,raw100,61,12,1,specificity,-0.2631578947368421
common,fpca256_4,raw100,62,12,2,roc_auc,0.06015037593984962
common,fpca256_4,raw100,62,12,2,sensitivity,0.0
common,fpca256_4,raw100,62,12,2,specificity,-0.05263157894736842
common,fpca256_4,raw100,63,12,3,roc_auc,-0.1142857142857141
common,fpca256_4,raw100,63,12,3,sensitivity,0.0714285714285714
common,fpca256_4,raw100,63,12,3,specificity,-0.24999999999999997
common,fpca256_4,raw100,64,12,4,roc_auc,-0.06882591093117407
common,fpca256_4,raw100,64,12,4,sensitivity,0.15384615384615385
common,fpca256_4,raw100,64,12,4,specificity,-0.15789473684210525
common,fpca256_4,raw100,65,13,0,roc_auc,0.134920634920635
common,fpca256_4,raw100,65,13,0,sensitivity,0.0714285714285714
common,fpca256_4,raw100,65,13,0,specificity,-0.3888888888888889
common,fpca256_4,raw100,66,13,1,roc_auc,-0.006666666666666599
common,fpca256_4,raw100,66,13,1,sensitivity,0.1333333333333333
common,fpca256_4,raw100,66,13,1,specificity,-0.5
common,fpca256_4,raw100,67,13,2,roc_auc,-0.03383458646616555
common,fpca256_4,raw100,67,13,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,67,13,2,specificity,-0.10526315789473684
common,fpca256_4,raw100,68,13,3,roc_auc,0.11344537815126043
common,fpca256_4,raw100,68,13,3,sensitivity,0.0
common,fpca256_4,raw100,68,13,3,specificity,-0.05882352941176472
common,fpca256_4,raw100,69,13,4,roc_auc,2.220446049250313e-16
common,fpca256_4,raw100,69,13,4,sensitivity,0.23076923076923084
