profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_7,outer_fold,35,4,0.020546988403174045,0.9433517253882876
fpca256_7,outer_fold,35,5,0.005340051371489511,0.9486917767597771
fpca256_7,outer_fold,35,6,0.0019311604032800024,0.9506229371630571
fpca256_7,outer_fold,35,7,0.0012149256950977395,0.9518378628581549
fpca256_7,outer_fold,36,1,0.5946233758422282,0.5946233758422282
fpca256_7,outer_fold,36,2,0.29404918964576,0.8886725654879882
fpca256_7,outer_fold,36,3,0.036613822293860024,0.9252863877818482
fpca256_7,outer_fold,36,4,0.01981112359713151,0.9450975113789798
fpca256_7,outer_fold,36,5,0.004957624585410478,0.9500551359643903
fpca256_7,outer_fold,36,6,0.0019205987134662487,0.9519757346778566
fpca256_7,outer_fold,36,7,0.0011902787395945754,0.9531660134174511
fpca256_7,outer_fold,37,1,0.5879861539913624,0.5879861539913624
fpca256_7,outer_fold,37,2,0.28388095410058223,0.8718671080919447
fpca256_7,outer_fold,37,3,0.04403703794570715,0.9159041460376518
fpca256_7,outer_fold,37,4,0.023447961712316216,0.939352107749968
fpca256_7,outer_fold,37,5,0.00511723802158726,0.9444693457715553
fpca256_7,outer_fold,37,6,0.001930387625070927,0.9463997333966262
fpca256_7,outer_fold,37,7,0.0012651647120388027,0.947664898108665
fpca256_7,outer_fold,38,1,0.6091056564798545,0.6091056564798545
fpca256_7,outer_fold,38,2,0.2770057023862448,0.8861113588660993
fpca256_7,outer_fold,38,3,0.040335646296165956,0.9264470051622652
fpca256_7,outer_fold,38,4,0.018064529842178424,0.9445115350044436
fpca256_7,outer_fold,38,5,0.004862465202928219,0.9493740002073718
fpca256_7,outer_fold,38,6,0.0018546456820463925,0.9512286458894182
fpca256_7,outer_fold,38,7,0.0012181293147958518,0.9524467752042141
fpca256_7,outer_fold,39,1,0.592297380062282,0.592297380062282
fpca256_7,outer_fold,39,2,0.29000734595656663,0.8823047260188487
fpca256_7,outer_fold,39,3,0.03851024754954979,0.9208149735683985
fpca256_7,outer_fold,39,4,0.019445118948092754,0.9402600925164912
fpca256_7,outer_fold,39,5,0.0051329818630705595,0.9453930743795618
fpca256_7,outer_fold,39,6,0.0016157658312795744,0.9470088402108413
fpca256_7,outer_fold,39,7,0.0013240367552128922,0.9483328769660542
fpca256_7,outer_fold,40,1,0.6146722146423542,0.6146722146423542
fpca256_7,outer_fold,40,2,0.27573540918665596,0.8904076238290102
fpca256_7,outer_fold,40,3,0.03674497177872292,0.9271525956077331
fpca256_7,outer_fold,40,4,0.01957773290330667,0.9467303285110398
fpca256_7,outer_fold,40,5,0.0045732567162795335,0.9513035852273193
fpca256_7,outer_fold,40,6,0.0017511953371011951,0.9530547805644205
fpca256_7,outer_fold,40,7,0.0011316216515387131,0.9541864022159592
fpca256_7,outer_fold,41,1,0.5923706544406476,0.5923706544406476
fpca256_7,outer_fold,41,2,0.2939646102946918,0.8863352647353394
fpca256_7,outer_fold,41,3,0.038006171971288964,0.9243414367066284
fpca256_7,outer_fold,41,4,0.018363490709051165,0.9427049274156796
fpca256_7,outer_fold,41,5,0.005193015903110433,0.94789794331879
fpca256_7,outer_fold,41,6,0.0019074293682446752,0.9498053726870347
fpca256_7,outer_fold,41,7,0.0012301797630108928,0.9510355524500456
fpca256_7,outer_fold,42,1,0.6004028088017285,0.6004028088017285
fpca256_7,outer_fold,42,2,0.2792550533495643,0.8796578621512927
fpca256_7,outer_fold,42,3,0.03957619767146007,0.9192340598227527
fpca256_7,outer_fold,42,4,0.022007066132986607,0.9412411259557394
fpca256_7,outer_fold,42,5,0.004959192879587914,0.9462003188353273
fpca256_7,outer_fold,42,6,0.0019961089147800394,0.9481964277501074
fpca256_7,outer_fold,42,7,0.0012010632472061011,0.9493974909973135
fpca256_7,outer_fold,43,1,0.541783245981578,0.541783245981578
fpca256_7,outer_fold,43,2,0.3259552287596317,0.8677384747412097
fpca256_7,outer_fold,43,3,0.04625822674477914,0.9139967014859889
fpca256_7,outer_fold,43,4,0.0236142195615962,0.937610921047585
fpca256_7,outer_fold,43,5,0.005686328519105414,0.9432972495666905
fpca256_7,outer_fold,43,6,0.0019543832796576955,0.9452516328463482
fpca256_7,outer_fold,43,7,0.0014020365552284187,0.9466536694015766
fpca256_7,outer_fold,44,1,0.5910665796472641,0.5910665796472641
fpca256_7,outer_fold,44,2,0.29490586684203424,0.8859724464892983
fpca256_7,outer_fold,44,3,0.040245586818295646,0.9262180333075939
fpca256_7,outer_fold,44,4,0.01774181506391567,0.9439598483715096
