label,role,q_nm_inv,median_profile_sd,mean_profile_sd,cases
CANCER,contralateral,3.995000260472297,0.050878955479582356,0.054782889210623575,53
CANCER,contralateral,4.205000287890433,0.04855528215472132,0.054183054033631654,53
CANCER,contralateral,4.41500031530857,0.05198972252385473,0.050062189344877675,53
CANCER,contralateral,4.625000342726707,0.04968550895349541,0.054428745382261015,53
CANCER,contralateral,4.835000370144844,0.038420828452579846,0.04361137817053363,53
CANCER,contralateral,5.04500039756298,0.03852284268008707,0.04719972401609843,53
CANCER,contralateral,5.255000424981116,0.039416629880748115,0.041526503650969014,53
CANCER,contralateral,5.465000452399253,0.035019582682155465,0.03819245545347967,53
CANCER,contralateral,5.67500047981739,0.0301050698479124,0.03345485682770677,53
CANCER,contralateral,5.885000507235526,0.024532156074608853,0.030872954232098446,53
CANCER,contralateral,6.095000534653662,0.029514954696100507,0.032011517818410724,53
CANCER,contralateral,6.3050005620717995,0.028455132918570526,0.03165469454630378,53
CANCER,contralateral,6.515000589489936,0.029150803988184728,0.03410970088163199,53
CANCER,contralateral,6.725000616908073,0.013238609213849655,0.015345962307119144,53
CANCER,contralateral,6.935000644326209,0.013238609213849574,0.015345962307119147,53
CANCER,contralateral,7.145000671744345,0.028037771972272262,0.03200763107861594,53
CANCER,contralateral,7.355000699162482,0.025733390318937163,0.03401722590322026,53
CANCER,contralateral,7.565000726580618,0.028744922425809897,0.0321881550323597,53
CANCER,contralateral,7.775000753998755,0.029698972017162557,0.033898071148077184,53
CANCER,contralateral,7.9850007814168915,0.030060081686874088,0.033890528446206755,53
CANCER,contralateral,8.19500080883503,0.033282662005734015,0.03544063953504142,53
CANCER,contralateral,8.405000836253166,0.03701331675613752,0.03974617120140592,53
CANCER,contralateral,8.615000863671302,0.034310637801053624,0.037093346633900286,53
CANCER,contralateral,8.825000891089438,0.03848625037346644,0.042121042546403996,53
CANCER,contralateral,9.035000918507574,0.03443073466811723,0.041048280505644075,53
CANCER,contralateral,9.24500094592571,0.04679799853174277,0.04468285593946539,53
CANCER,contralateral,9.455000973343846,0.04579365258417973,0.049195638046236535,53
CANCER,contralateral,9.665001000761984,0.044894511854180724,0.04811589694100095,53
CANCER,contralateral,9.87500102818012,0.05200305189252021,0.05561497499945402,53
CANCER,contralateral,10.085001055598259,0.057690471521254165,0.059786532854683945,53
CANCER,contralateral,10.295001083016395,0.056189200179053246,0.05899706985571858,53
CANCER,contralateral,10.50500111043453,0.06296870594671951,0.06983601831176416,53
CANCER,contralateral,10.715001137852667,0.07129928144061107,0.07972345536845302,53
CANCER,contralateral,10.925001165270803,0.08439530232453922,0.08682780049184641,53
CANCER,contralateral,11.13500119268894,0.08315954395273124,0.09272166423702517,53
CANCER,contralateral,11.345001220107077,0.1031149472095623,0.10433217010907828,53
CANCER,contralateral,11.555001247525214,0.09796890433502603,0.11413959276265002,53
CANCER,contralateral,11.76500127494335,0.10642870110537625,0.12431378564425088,53
CANCER,contralateral,11.975001302361486,0.11526484695347071,0.14187782426679935,53
CANCER,contralateral,12.185001329779622,0.12487635798278517,0.15127452002056546,53
CANCER,contralateral,12.39500135719776,0.15418645750543294,0.17706519836129608,53
CANCER,contralateral,12.605001384615896,0.1469896843516349,0.18174796307464744,53
CANCER,contralateral,12.815001412034032,0.16922088456162915,0.19622196498671934,53
CANCER,contralateral,13.025001439452168,0.17391411631211431,0.20414302494812592,53
CANCER,contralateral,13.235001466870306,0.1846622017826523,0.22216508554354902,53
CANCER,contralateral,13.445001494288443,0.18236218292718162,0.22378223750415632,53
CANCER,contralateral,13.655001521706579,0.1764287347883401,0.22354408512097024,53
CANCER,contralateral,13.865001549124715,0.1858765161047732,0.22820772442171622,53
CANCER,contralateral,14.075001576542851,0.19274292593877163,0.2284185929487382,53
CANCER,contralateral,14.285001603960989,0.2007570714404613,0.21880764141325287,53
CANCER,contralateral,14.495001631379125,0.18282106115722732,0.19803044997372124,53
CANCER,contralateral,14.705001658797261,0.18681680203865644,0.18476943277823632,53
CANCER,contralateral,14.915001686215398,0.1417025846772092,0.16900514044083825,53
CANCER,contralateral,15.125001713633536,0.13445902027986334,0.15752333482430617,53
CANCER,contralateral,15.335001741051672,0.130648331559434,0.14566514728525726,53
CANCER,contralateral,15.545001768469808,0.12045147621275684,0.13056866282549792,53
CANCER,contralateral,15.755001795887944,0.1104216331850577,0.11744230380640427,53
CANCER,contralateral,15.96500182330608,0.10733798948411087,0.10421794398377456,53
CANCER,contralateral,16.175001850724218,0.09510402492362818,0.10190192699640317,53
CANCER,contralateral,16.385001878142354,0.07441278555978927,0.08680039466959037,53
CANCER,contralateral,16.59500190556049,0.07666610693373399,0.09001656977730871,53
CANCER,contralateral,16.805001932978627,0.06787440552424107,0.07981659119053866,53
CANCER,contralateral,17.015001960396766,0.07109854019589103,0.08304317078637152,53
CANCER,contralateral,17.2250019878149,0.07805657097760099,0.0892598648033413,53
CANCER,contralateral,17.43500201523304,0.06362665604802098,0.08645939213792848,53
CANCER,contralateral,17.64500204265117,0.06922977130249422,0.08541776680987502,53
CANCER,contralateral,17.85500207006931,0.08039136656578211,0.09137755639881621,53
CANCER,contralateral,18.065002097487447,0.07547355698274007,0.09745109656081986,53
CANCER,contralateral,18.275002124905583,0.08033511392375683,0.10244439565656885,53
CANCER,contralateral,18.485002152323723,0.08663224538802616,0.09486966971006199,53
CANCER,contralateral,18.695002179741856,0.0955020665394865,0.10661741674518607,53
CANCER,contralateral,18.905002207159995,0.08422418023065846,0.11132280386248367,53
CANCER,contralateral,19.115002234578128,0.07912093081587987,0.1078239777474411,53
CANCER,contralateral,19.325002261996268,0.0786653343081689,0.112346136069909,53
CANCER,contralateral,19.5350022894144,0.11352599948513595,0.12004532708730836,53
CANCER,contralateral,19.74500231683254,0.1053623997601386,0.11940449795667661,53
CANCER,contralateral,19.955002344250673,0.09159027384612559,0.1107163945264224,53
CANCER,contralateral,20.165002371668812,0.11523545902322552,0.12039227405335641,53
CANCER,contralateral,20.375002399086952,0.09822719257539453,0.12428826675536278,53
CANCER,contralateral,20.585002426505085,0.0831231273454865,0.12169344423698711,53
CANCER,contralateral,20.795002453923225,0.11653302704668805,0.12100620762074464,53
CANCER,contralateral,21.005002481341357,0.09433715553524598,0.12130587048027716,53
