profile_encoder,q_nm_inv,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,mean_profile,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
fpca256_10,5.732422362314537,0.0015265748416622383,0.007754619352645475,-0.025019854334703353,0.039002730430224175,-0.020286984154232312,-0.04903981200648952,0.07874583991336354,0.07146200204461206,0.009555250781164887,0.016663303176163612,1.0341158442222493,,,,,,,,,,,,,,,,,,,,
fpca256_10,5.814453623024747,0.002069107072809069,0.007188650280762522,-0.021589124355750233,0.028768827878167688,-0.02109209628387229,-0.042276006749959925,0.07866832236184082,0.0714532238405852,-0.029327804217269618,-0.02301711749879473,1.0282286483787892,,,,,,,,,,,,,,,,,,,,
fpca256_10,5.896484883734956,0.0019699461434349755,0.005755296536889073,-0.016175922006962728,0.027623290507003948,-0.024252523925647203,-0.029010885036545152,0.07494727252316631,0.031676392448046264,-0.030700585165722803,-0.038460844641617226,1.021347365355398,,,,,,,,,,,,,,,,,,,,
fpca256_10,5.978516144445166,0.003000047729626178,0.005204881774211261,-0.01474621979954958,0.025367597894808924,-0.017693496464748385,-0.02627719974098699,0.08883218291788532,0.0654164949002097,-0.019932598972754956,-0.056030282700012236,1.0204210600720098,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.060547405155376,0.0008459624059906966,0.004446255614516831,-0.01673793559959056,0.030280423333401536,-0.01633245934350443,-0.03262557470619985,0.09289307709009721,0.061498159680011724,-0.005168781084118523,-0.04931789158507149,1.0140472735568584,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.142578665865585,0.0005248700131805737,0.0036733849100146904,-0.015192612307737854,0.026806317524436588,-0.01300915360212074,-0.04284539984662723,0.09099116150810431,0.06790571023669437,0.009447528465626766,-0.018558522693513633,1.009068317255935,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.224609926575795,0.000742930127139737,0.004737256478544767,-0.01163268867931117,0.030518291928565592,-0.010193097177683574,-0.042261868883910196,0.07402777031932137,0.0639392555082666,0.005648036744067644,0.006096277734726365,1.0069793288143702,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.306641187286004,0.0011435481565390498,0.005066555917636886,-0.010044526072446552,0.028207866146001785,-0.020787955971991078,-0.00842236471262396,0.07033913835420104,0.09782146811741119,-0.006690676365011024,-0.02787781585927258,1.005826845254547,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.388672447996214,0.0014953364800711585,0.004350484777691092,-0.008372056738298784,0.02417334497103068,-0.01924596636657779,-0.015020261683455518,0.06249626160982258,0.07733231915712893,0.030816544316098596,-0.044400689250772174,1.0061231086332467,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.470703708706424,0.0012288424164104493,0.0038413342115879504,-0.007577716447388849,0.01614802258701941,-0.02216316855942744,-0.035962909827359085,0.09062664416958392,0.02561226076085753,-0.0062470446837506865,-0.016691670194538034,1.0069390392115207,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.552734969416633,0.0002095660426759673,0.0032160303735517767,-0.005081810155980203,0.018917277937035293,-0.03269855561200352,-0.026040360878996114,0.10988839397146959,0.028490813928430402,-0.0008512636957003882,-0.016115959893797722,1.0005511196070795,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.634766230126843,4.7621114421797094e-05,0.002364561059233589,-0.008981236229154694,0.0195676933556115,-0.021752279723549352,-0.032701578918546303,0.07101633587094541,0.05032475864813835,0.007913276061877864,-0.05035491116573398,1.000845777370556,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.7167974908370525,0.0006932063198685741,0.002706850338575317,-0.0030233022207770332,0.0058922071954814826,-0.0014434930714567514,0.006236047372470539,0.01752831169108662,0.010634154136276164,0.022502028849256835,-0.009625911233603655,1.0005589578661458,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.798828751547262,-0.0002451977905434114,-0.0010274657768987463,-0.002056850442267629,-0.003497837320429588,-0.00047510074597357,-0.009722867008723155,-0.0015771331816359063,-0.0031991731285759863,-0.008790674737243234,-0.014328841423780244,1.0000227507875876,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.880860012257472,-7.898623577979549e-05,-0.0011055293564966651,0.0028834689152739098,0.0012299518825585945,-0.007201593407470144,-0.0007119591606598242,0.0031974287379614914,0.015885696667114098,-0.0034495379336812646,-0.0063213332922155705,1.0013850187274311,,,,,,,,,,,,,,,,,,,,
fpca256_10,6.962891272967681,-0.00011617417279780813,0.00031520286629475565,0.0009228862971877933,0.0019400728829884774,-0.010788805856941565,0.00033229843183269734,0.019453405187026252,0.019818261701753454,-0.0025683182264058537,-0.024809458506795484,1.0019203534400452,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.044922533677891,0.00041142758590652806,0.0016312719342393023,0.0004866311344829293,0.01000988472782338,-0.011342886800120036,-0.016071619794645192,0.035570728680406824,-0.009422637611885994,0.020782010456970482,0.010101604285581166,0.9984731278936102,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.1269537943881005,-5.444192622162708e-05,0.0006617591674759567,0.0047876645664773525,0.018920035997954002,-0.03565707481940442,-0.023713147518543684,0.09361640773317367,0.07013355269012059,0.011891214325111556,-0.0741188598326114,0.9984111311008531,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.20898505509831,-0.0005804619885689411,0.0016654901899395469,0.005154670998961068,0.020969894908968868,-0.03621901888488439,-0.02857530770591719,0.07227076805629509,0.07151451404210335,0.03536190971924453,-0.05414049841276604,0.9984161410429,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.29101631580852,-0.0003301303816668456,0.0024317949874418966,0.006955364284277475,0.024599018731253357,-0.049809241382268,-0.04012327053977702,0.058724293838500606,0.06422836580176926,0.017759778482641157,-0.035875204170709135,1.0053343527138556,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.373047576518729,-1.608212105522252e-06,0.0013956451542279627,0.009884221744449915,0.020228438700466957,-0.04132098007771749,-0.024259978173195796,0.11389259754719706,0.03347684606467724,0.04581802103838675,-0.05153199501995085,1.007743582321673,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.455078837228939,-0.0007423593156957351,0.002523416468670087,0.00783977076270434,0.015053264651211921,-0.04155599955356132,-0.026961380103795354,0.07969190640747734,0.049673748276981525,0.048228153593496394,-0.0440779507532714,1.013640289139792,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.5371100979391485,-0.0007795913174987089,0.002034307522421857,0.011708021015323323,0.013208909318168238,-0.03583714010568587,-0.04157151211828578,0.05847802490005084,0.08187383474668246,0.022723061197812568,-0.052481857032243985,1.0126008962763844,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.619141358649358,-0.00042101495553657195,0.0017323280000795175,0.01202110512201573,0.014182962554374758,-0.04346322958307461,-0.0368380603720964,0.06174083004033808,0.06720105066893284,0.025702473168105575,-0.07700977564111464,1.015694358735718,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.701172619359568,-0.00147744418966746,0.0008208485933342537,0.012745888696522847,0.02007281203684163,-0.047430600440287386,-0.029652629082146185,0.06831398135600598,0.07817173260966585,0.008472159597982117,0.005131187276180179,1.01568359397835,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.783203880069777,-0.0011817629429006025,0.002739252748892527,0.015390913489155063,0.022144402745942652,-0.043526296952851394,-0.015565177372063466,0.07541210195835947,0.05224689803872431,0.026334309249837255,-0.004290833773303742,1.020730410618134,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.865235140779987,-0.0017157061320867443,0.0018129865709823848,0.011423498136781106,0.021667389218014557,-0.04524662476433655,-0.007583290086809899,0.0764661743665541,0.07038449858520095,0.039856724345053184,-0.02089649640581346,1.02840894838172,,,,,,,,,,,,,,,,,,,,
fpca256_10,7.947266401490197,-0.002267118116581373,0.0026601598454029565,0.016986594987310727,0.02605880431834252,-0.03725037611908421,-0.028577511430793498,0.09186948489153551,0.04253272903959733,0.0054208886830294815,-0.0021571383190361767,1.0318154473486534,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.029297662200406,-0.0020281117039023327,0.0037039132580701244,0.018543875453557263,0.025151144952007102,-0.03538103851653846,-0.02227577399400751,0.1070247291474592,0.030747737431566707,-0.017896913809677336,0.0032443774630600965,1.04243214642754,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.111328922910616,-0.0022910206327165527,0.0028399090366346565,0.02487057992508216,0.01989889790634114,-0.03788677080012815,0.0016298880812725231,0.07086808861690683,0.055864676205949336,-0.015762609116103717,-0.04175808721107422,1.0491596690527114,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.193360183620825,-0.003873216118087767,0.0016424054593131867,0.023310961517340932,0.022202089634900973,-0.050615797445941635,0.005038199810069312,0.0959745108693828,0.04021791887429367,0.022660579363058462,-0.004489331823128172,1.0537072081623364,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.275391444331035,-0.003267540678655979,0.0034248287184183487,0.026865948267805438,0.021818127671383816,-0.055512720786167126,7.025574771932561e-05,0.05566760527798381,0.06592968353862748,0.025645604971014643,-0.014473470932757075,1.0618675848793453,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.357422705041245,-0.002534410966546075,0.005131222228251681,0.033024173544601104,0.016365247066749345,-0.058254582396656436,-0.018320427870356207,0.08308115766194497,0.07580011105936335,0.03271990506616948,-0.04389451848642689,1.0731024790304922,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.439453965751454,-0.0025886381626946857,0.004991480028301061,0.03141910656049259,0.018555103324478336,-0.05100627261447322,-0.01712752099395039,0.08493043881186003,0.02305411477311907,0.020069497874898822,-0.038623689675225524,1.080810345347247,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.521485226461664,-0.002718550292327769,0.003945573910812417,0.03708918552427147,0.020269171500357733,-0.04400876522082391,0.004648359226012318,0.0915247319494717,0.019204422392097638,-0.021719250087468903,-0.018999942829024185,1.0905615123995236,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.603516487171873,-0.0047874011869666905,0.0040660315930831385,0.03563054054119851,0.02069654324892693,-0.05576169797223979,-0.009723320633074399,0.06770733296134299,0.07823982307062596,-0.010513724644716158,0.024096797022296255,1.0971849807087004,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.685547747882083,-0.004277395848402998,0.004916206236778162,0.03920850302772195,0.02089230824882411,-0.05929422333422123,-0.00327430880439661,0.09045388999396409,0.027497486433218976,0.06313462453420042,0.016675456166467255,1.1063121049661924,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.767579008592293,-0.004956151036973572,0.005223463240936603,0.04263990063003767,0.019044578976834172,-0.06337453119820555,-0.010272043747679418,0.08493608137882713,0.012171259827388916,0.028258793602972843,0.026731836820976126,1.1160247362469244,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.849610269302502,-0.00526898547786896,0.0045167837915746625,0.04571282789328183,0.02162735279103027,-0.06847979321641945,-0.017190350938067422,0.08745641783820368,0.05646715283347907,-0.0064532618178737705,7.951008857904386e-05,1.1254101069888744,,,,,,,,,,,,,,,,,,,,
fpca256_10,8.931641530012712,-0.0064617324399199975,0.005275987694409265,0.04478053050127203,0.02053134096320715,-0.07010452090203108,-0.011133627621791205,0.08811071773642543,0.0966430958604168,0.03433915509343205,-0.025791326819789257,1.132478517438887,,,,,,,,,,,,,,,,,,,,
fpca256_10,9.013672790722921,-0.006793443288319861,0.004838868319893886,0.04431766522274266,0.017894599449625296,-0.07308698425316933,0.014359127585191754,0.06719343006968632,0.08917833827015557,0.049967088467506506,-0.07441239407606547,1.14545955770769,,,,,,,,,,,,,,,,,,,,
fpca256_10,9.095704051433131,-0.007173430741216601,0.004575814288770262,0.042569453720678864,0.024321828020130686,-0.07391687450261668,0.0031073624519116876,0.07215946002687233,0.06246891360316915,-0.0053118245627910175,-0.07369746557004436,1.1597852829830773,,,,,,,,,,,,,,,,,,,,
