cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
full_npt256,fpca256_10,raw256,21,4,1,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,21,4,1,specificity,-0.05263157894736842
full_npt256,fpca256_10,raw256,22,4,2,roc_auc,-0.02962962962962956
full_npt256,fpca256_10,raw256,22,4,2,sensitivity,0.20000000000000007
full_npt256,fpca256_10,raw256,22,4,2,specificity,-0.44444444444444453
full_npt256,fpca256_10,raw256,23,4,3,roc_auc,-0.0071428571428571175
full_npt256,fpca256_10,raw256,23,4,3,sensitivity,0.1428571428571429
full_npt256,fpca256_10,raw256,23,4,3,specificity,-0.24999999999999994
full_npt256,fpca256_10,raw256,24,4,4,roc_auc,0.14285714285714302
full_npt256,fpca256_10,raw256,24,4,4,sensitivity,0.6428571428571428
full_npt256,fpca256_10,raw256,24,4,4,specificity,-0.38095238095238093
full_npt256,fpca256_10,raw256,25,5,0,roc_auc,0.013333333333333308
full_npt256,fpca256_10,raw256,25,5,0,sensitivity,0.4666666666666667
full_npt256,fpca256_10,raw256,25,5,0,specificity,-0.35
full_npt256,fpca256_10,raw256,26,5,1,roc_auc,0.1450980392156862
full_npt256,fpca256_10,raw256,26,5,1,sensitivity,0.1333333333333333
full_npt256,fpca256_10,raw256,26,5,1,specificity,-0.11764705882352944
full_npt256,fpca256_10,raw256,27,5,2,roc_auc,-0.0029761904761904656
full_npt256,fpca256_10,raw256,27,5,2,sensitivity,0.1875
full_npt256,fpca256_10,raw256,27,5,2,specificity,-0.2857142857142857
full_npt256,fpca256_10,raw256,28,5,3,roc_auc,-0.017857142857142794
full_npt256,fpca256_10,raw256,28,5,3,sensitivity,0.4285714285714286
full_npt256,fpca256_10,raw256,28,5,3,specificity,-0.45
full_npt256,fpca256_10,raw256,29,5,4,roc_auc,-0.09398496240601495
full_npt256,fpca256_10,raw256,29,5,4,sensitivity,0.0
full_npt256,fpca256_10,raw256,29,5,4,specificity,-0.15789473684210525
full_npt256,fpca256_10,raw256,30,6,0,roc_auc,-0.062962962962963
full_npt256,fpca256_10,raw256,30,6,0,sensitivity,0.1333333333333333
full_npt256,fpca256_10,raw256,30,6,0,specificity,-0.3888888888888889
full_npt256,fpca256_10,raw256,31,6,1,roc_auc,-0.026666666666666616
full_npt256,fpca256_10,raw256,31,6,1,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,31,6,1,specificity,-0.3
full_npt256,fpca256_10,raw256,32,6,2,roc_auc,0.1466666666666666
full_npt256,fpca256_10,raw256,32,6,2,sensitivity,0.20000000000000007
full_npt256,fpca256_10,raw256,32,6,2,specificity,-0.2
full_npt256,fpca256_10,raw256,33,6,3,roc_auc,0.1587301587301586
full_npt256,fpca256_10,raw256,33,6,3,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,33,6,3,specificity,-0.2857142857142857
full_npt256,fpca256_10,raw256,34,6,4,roc_auc,0.11111111111111105
full_npt256,fpca256_10,raw256,34,6,4,sensitivity,0.5
full_npt256,fpca256_10,raw256,34,6,4,specificity,-0.3888888888888889
full_npt256,fpca256_10,raw256,35,7,0,roc_auc,-0.02857142857142858
full_npt256,fpca256_10,raw256,35,7,0,sensitivity,0.20000000000000007
full_npt256,fpca256_10,raw256,35,7,0,specificity,-0.4285714285714286
full_npt256,fpca256_10,raw256,36,7,1,roc_auc,-0.0625
full_npt256,fpca256_10,raw256,36,7,1,sensitivity,0.3125
full_npt256,fpca256_10,raw256,36,7,1,specificity,-0.411764705882353
full_npt256,fpca256_10,raw256,37,7,2,roc_auc,-0.009523809523809601
full_npt256,fpca256_10,raw256,37,7,2,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,37,7,2,specificity,-0.42857142857142855
full_npt256,fpca256_10,raw256,38,7,3,roc_auc,0.07894736842105254
full_npt256,fpca256_10,raw256,38,7,3,sensitivity,0.28571428571428575
full_npt256,fpca256_10,raw256,38,7,3,specificity,-0.4210526315789474
full_npt256,fpca256_10,raw256,39,7,4,roc_auc,0.09022556390977443
full_npt256,fpca256_10,raw256,39,7,4,sensitivity,0.2857142857142857
full_npt256,fpca256_10,raw256,39,7,4,specificity,-0.21052631578947367
full_npt256,fpca256_10,raw256,40,8,0,roc_auc,-0.007017543859649145
full_npt256,fpca256_10,raw256,40,8,0,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,40,8,0,specificity,-0.3157894736842105
full_npt256,fpca256_10,raw256,41,8,1,roc_auc,0.08680555555555558
full_npt256,fpca256_10,raw256,41,8,1,sensitivity,0.4375
full_npt256,fpca256_10,raw256,41,8,1,specificity,-0.16666666666666663
full_npt256,fpca256_10,raw256,42,8,2,roc_auc,0.056140350877192935
full_npt256,fpca256_10,raw256,42,8,2,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,42,8,2,specificity,-0.4736842105263158
full_npt256,fpca256_10,raw256,43,8,3,roc_auc,0.03214285714285714
full_npt256,fpca256_10,raw256,43,8,3,sensitivity,0.3571428571428572
full_npt256,fpca256_10,raw256,43,8,3,specificity,-0.3
full_npt256,fpca256_10,raw256,44,8,4,roc_auc,0.04421768707482998
full_npt256,fpca256_10,raw256,44,8,4,sensitivity,0.1428571428571429
full_npt256,fpca256_10,raw256,44,8,4,specificity,-0.2857142857142857
full_npt256,fpca256_10,raw256,45,9,0,roc_auc,0.10175438596491226
full_npt256,fpca256_10,raw256,45,9,0,sensitivity,0.2666666666666667
full_npt256,fpca256_10,raw256,45,9,0,specificity,-0.21052631578947367
full_npt256,fpca256_10,raw256,46,9,1,roc_auc,0.01333333333333342
full_npt256,fpca256_10,raw256,46,9,1,sensitivity,0.4666666666666667
full_npt256,fpca256_10,raw256,46,9,1,specificity,-0.2
full_npt256,fpca256_10,raw256,47,9,2,roc_auc,-0.10175438596491226
full_npt256,fpca256_10,raw256,47,9,2,sensitivity,0.1333333333333333
full_npt256,fpca256_10,raw256,47,9,2,specificity,-0.1578947368421053
full_npt256,fpca256_10,raw256,48,9,3,roc_auc,0.02857142857142858
full_npt256,fpca256_10,raw256,48,9,3,sensitivity,0.4285714285714286
full_npt256,fpca256_10,raw256,48,9,3,specificity,-0.35000000000000003
full_npt256,fpca256_10,raw256,49,9,4,roc_auc,0.14035087719298245
full_npt256,fpca256_10,raw256,49,9,4,sensitivity,0.4
full_npt256,fpca256_10,raw256,49,9,4,specificity,-0.15789473684210525
full_npt256,fpca256_10,raw256,50,10,0,roc_auc,0.14603174603174596
full_npt256,fpca256_10,raw256,50,10,0,sensitivity,0.4666666666666667
full_npt256,fpca256_10,raw256,50,10,0,specificity,-0.38095238095238093
full_npt256,fpca256_10,raw256,51,10,1,roc_auc,-0.02807017543859658
full_npt256,fpca256_10,raw256,51,10,1,sensitivity,0.33333333333333337
full_npt256,fpca256_10,raw256,51,10,1,specificity,-0.47368421052631576
full_npt256,fpca256_10,raw256,52,10,2,roc_auc,-0.06315789473684208
full_npt256,fpca256_10,raw256,52,10,2,sensitivity,0.20000000000000007
