lr1_logreg_c,lr2_logreg_c,model_name,evaluation_mode,splits,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std,balanced_accuracy_target_mean,ppv_target_mean,npv_target_mean,true_positives_mean,true_negatives_mean,false_negatives_mean,false_positives_mean,training_config_path,model_joblib_path
0.1,0.1,M0Q,stratified_kfold,5,0.5962527233115468,0.0567070883481933,0.5583547625050823,0.8400000000000001,0.09043106644167026,0.33725490196078434,0.036001148637700424,0.5886274509803922,0.5152637362637362,0.728932178932179,12.6,6.0,2.4,11.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.joblib
0.1,0.1,M1Q,stratified_kfold,5,0.608409586056645,0.046462697239323225,0.5914272144000706,0.7866666666666667,0.09797958971132714,0.373202614379085,0.1302343960203601,0.5799346405228758,0.5178511705685619,0.6754761904761905,11.8,6.6,3.2,11.2,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.joblib
0.1,0.1,M2Q,stratified_kfold,5,0.6557298474945534,0.048485083760272246,0.6397756217393964,0.8266666666666668,0.10832051206181284,0.3601307189542483,0.06952110340169798,0.5933986928104575,0.5203703703703704,0.7312409812409812,12.4,6.4,2.6,11.4,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p1.joblib
0.1,0.3,M0Q,stratified_kfold,5,0.5983442265795207,0.06430826387470202,0.5628486691269974,0.8400000000000001,0.06798692684790382,0.3366013071895425,0.06795499989840538,0.5883006535947712,0.5167326892109501,0.7183333333333334,12.6,6.0,2.4,11.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.joblib
0.1,0.3,M1Q,stratified_kfold,5,0.6115032679738561,0.04336713904843724,0.5914687491471289,0.7733333333333332,0.06798692684790383,0.37254901960784315,0.09927327890035068,0.5729411764705883,0.5118686868686868,0.6613275613275613,11.6,6.6,3.4,11.2,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.joblib
0.1,0.3,M2Q,stratified_kfold,5,0.6527233115468409,0.04814450049767911,0.637297409031208,0.8400000000000001,0.0997775303139718,0.3718954248366013,0.08125105768953089,0.6059477124183007,0.5300264550264551,0.7574203574203574,12.6,6.6,2.4,11.2,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_0p3.joblib
0.1,1.0,M0Q,stratified_kfold,5,0.5959477124183007,0.0678032045888875,0.5635084979271769,0.8400000000000001,0.06798692684790382,0.3366013071895425,0.06795499989840538,0.5883006535947712,0.5167326892109501,0.7183333333333334,12.6,6.0,2.4,11.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.joblib
0.1,1.0,M1Q,stratified_kfold,5,0.601525054466231,0.05947081933272641,0.5823170682521434,0.7466666666666667,0.0653197264742181,0.3830065359477124,0.07073936858770687,0.5648366013071896,0.5056521739130435,0.6465401265401265,11.2,6.8,3.8,11.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.joblib
0.1,1.0,M2Q,stratified_kfold,5,0.6541176470588235,0.04753463160793146,0.6364768592993109,0.8,0.08432740427115683,0.4045751633986928,0.041357626194918624,0.6022875816993464,0.5302595954769868,0.7193073593073593,12.0,7.2,3.0,10.6,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_1.joblib
0.1,3.0,M0Q,stratified_kfold,5,0.5891067538126362,0.07380689994764653,0.557635761263318,0.8400000000000001,0.06798692684790382,0.3366013071895425,0.06795499989840538,0.5883006535947712,0.5167471819645733,0.7183333333333335,12.6,6.0,2.4,11.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_0p1_c2_3.joblib
