split_id,feature,full_roc_auc,lofo_roc_auc,lofo_delta_roc_auc,full_sensitivity,lofo_sensitivity,lofo_delta_sensitivity,full_specificity,lofo_specificity,lofo_delta_specificity,permutation_auc_drop
78,sk_weightedrms1,0.7481481481481482,0.7444444444444445,0.0037037037037037646,0.9333333333333333,1.0,-0.06666666666666665,0.3333333333333333,0.2777777777777778,0.055555555555555525,0.02456790123456809
78,sk_sigma_target1,0.7481481481481482,0.7518518518518519,-0.0037037037037036535,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.2777777777777778,0.055555555555555525,0.011111111111111072
78,sk_sigma_contralateral1,0.7481481481481482,0.7555555555555555,-0.007407407407407307,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.004444444444444251
78,sk_mahalanobis1,0.7481481481481482,0.7444444444444445,0.0037037037037037646,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.03111111111111109
78,sk_meanrms2,0.7481481481481482,0.7518518518518519,-0.0037037037037036535,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0019753086419754817
78,sk_weightedrms2,0.7481481481481482,0.7444444444444445,0.0037037037037037646,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3888888888888889,-0.05555555555555558,0.020123456790123617
78,sk_sigma_target2,0.7481481481481482,0.7481481481481481,1.1102230246251565e-16,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.010246913580246764
78,sk_sigma_contralateral2,0.7481481481481482,0.7555555555555556,-0.007407407407407418,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.00530864197530867
78,sk_mahalanobis2,0.7481481481481482,0.7296296296296296,0.0185185185185186,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.035308641975308586
78,sk_peak14_intensity_abs_delta,0.7481481481481482,0.7481481481481482,0.0,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0017283950617285049
78,sk_mean_peak_value_abs_delta,0.7481481481481482,0.7481481481481481,1.1102230246251565e-16,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0024691358024691024
78,sk_wasserstein_distance_mu_tc,0.7481481481481482,0.7555555555555556,-0.007407407407407418,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.009629629629629766
78,sk_cosine_distance_full_q2,0.7481481481481482,0.7481481481481482,0.0,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.0002469135802467548
78,sk_wasserstein_distance_full_q2,0.7481481481481482,0.725925925925926,0.022222222222222254,0.9333333333333333,0.9333333333333333,0.0,0.3333333333333333,0.2777777777777778,0.055555555555555525,0.02197530864197539
79,sk_meanrms1,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,0.002745098039215632
79,sk_weightedrms1,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.00169934640522873
79,sk_sigma_target1,0.5333333333333333,0.5294117647058824,0.0039215686274509665,0.5333333333333333,0.6,-0.06666666666666665,0.5294117647058824,0.5294117647058824,0.0,-0.008888888888888835
79,sk_sigma_contralateral1,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.6,-0.06666666666666665,0.5294117647058824,0.5294117647058824,0.0,-0.005359477124182943
79,sk_mahalanobis1,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0
79,sk_meanrms2,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.002745098039215632
79,sk_weightedrms2,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0048366013071895475
79,sk_sigma_target2,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.0048366013071895475
79,sk_sigma_contralateral2,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.0031372549019608176
79,sk_mahalanobis2,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0
79,sk_peak14_intensity_abs_delta,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0039215686274509665
79,sk_mean_peak_value_abs_delta,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.6,-0.06666666666666665,0.5294117647058824,0.5294117647058824,0.0,0.011372549019607825
79,sk_wasserstein_distance_mu_tc,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.009411764705882342
79,sk_cosine_distance_full_q2,0.5333333333333333,0.5372549019607843,-0.0039215686274509665,0.5333333333333333,0.5333333333333333,0.0,0.5294117647058824,0.5294117647058824,0.0,-0.008758169934640514
