feature_set,model_name,mode,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,threshold_mean,n_rows,n_splits
sk_windows,LR_L1,70/30 x50,0.5902666666666667,0.062396901632479594,0.5935546603967794,0.7816666666666666,0.09411871935663667,0.3623999999999999,0.10005118689950658,0.352326930997572,49,50
sk_windows,LR_L1,stratified 5-fold,0.5925214460784314,0.07477157505522045,0.6085544887013976,0.6816666666666666,0.08260515184364177,0.3830882352941177,0.10646286939846038,0.3943756344987007,32,5
sk_windows,LR_elastic,train-all,0.8499694749694748,0.0,0.8446668206335011,0.9615384615384616,0.0,0.5476190476190477,0.0,0.36899930589214447,162,1
sk_windows,LR_elastic,70/30 x50,0.6015666666666667,0.0623452840593773,0.6032635000128205,0.7516666666666667,0.10637982264821964,0.3951999999999999,0.09818839035242405,0.3491394799856108,49,50
sk_windows,LR_elastic,stratified 5-fold,0.6022763480392157,0.06815711360038185,0.6141927834078963,0.6933333333333334,0.09805752280053673,0.38382352941176473,0.14411764705882352,0.37794251499787906,32,5
sk_windows,SVM_poly2,train-all,0.9030830280830281,0.0,0.8721498494947766,0.9615384615384616,0.0,0.6071428571428571,0.0,-0.20282859803629444,162,1
sk_windows,SVM_poly2,70/30 x50,0.6271666666666667,0.06750576107102102,0.6358465633994759,0.7816666666666666,0.09809292646374773,0.3184,0.1226272400407022,-0.14251858078259183,49,50
sk_windows,SVM_poly2,stratified 5-fold,0.6172947303921569,0.07237803223515463,0.6242116321698588,0.7441666666666666,0.06654154925892378,0.3830882352941177,0.11277599747081084,-0.12125225364908765,32,5
sk_windows,RF_depth2,train-all,0.8743894993894994,0.0,0.8748592305979563,0.9615384615384616,0.0,0.5,0.0,0.4372620075222782,162,1
sk_windows,RF_depth2,70/30 x50,0.5801666666666667,0.056691416163883804,0.6107760917215233,0.7441666666666668,0.08780106934301984,0.3072,0.11850805879770371,0.44230139009687636,49,50
sk_windows,RF_depth2,stratified 5-fold,0.6154595588235294,0.12082591864157519,0.6305164790161983,0.72,0.15463667094192116,0.3463235294117647,0.2411092086981149,0.4377059780734971,32,5
sk_windows,RF_depth3,train-all,0.9648962148962149,0.0,0.9612092542622539,0.9615384615384616,0.0,0.8452380952380952,0.0,0.4809825706734636,162,1
sk_windows,RF_depth3,70/30 x50,0.5730000000000001,0.056919045826311764,0.6109989087437863,0.6191666666666668,0.08660654966250789,0.4632,0.12901844829325768,0.47347996552586447,49,50
sk_windows,RF_depth3,stratified 5-fold,0.6004227941176471,0.12008615950148395,0.6212223483156469,0.595,0.23984080368259092,0.4764705882352941,0.21404006351365001,0.45784185311058156,32,5
sk_windows_ratios,LR_L2,train-all,0.9093406593406593,0.0,0.9036506854224434,0.9615384615384616,0.0,0.6547619047619048,0.0,0.39760026974178414,162,1
sk_windows_ratios,LR_L2,70/30 x50,0.5681333333333334,0.07239600971201535,0.5568836191777786,0.6050000000000001,0.1051586103623157,0.5064,0.09752456100900943,0.4261814431020187,49,50
sk_windows_ratios,LR_L2,stratified 5-fold,0.5683578431372549,0.06163367286565997,0.5562615353474529,0.58,0.10773553009311478,0.4772058823529412,0.12719525627158065,0.44176526514872394,32,5
sk_windows_ratios,LR_L1,train-all,0.8827838827838828,0.0,0.8755451497928122,0.9615384615384616,0.0,0.6309523809523809,0.0,0.4140166124855727,162,1
sk_windows_ratios,LR_L1,70/30 x50,0.5652666666666666,0.06771620518343037,0.5574506395011469,0.6758333333333334,0.1152563567781742,0.44239999999999996,0.10005118689950661,0.40185161800901603,49,50
sk_windows_ratios,LR_L1,stratified 5-fold,0.5628216911764705,0.029332527686366447,0.559682119502285,0.6799999999999999,0.06600715449437616,0.4294117647058823,0.1336213728423594,0.417035321260664,32,5
sk_windows_ratios,LR_elastic,train-all,0.8923992673992673,0.0,0.8883129071781487,0.9615384615384616,0.0,0.6190476190476191,0.0,0.3760509612687048,162,1
sk_windows_ratios,LR_elastic,70/30 x50,0.5701333333333333,0.07030792590060131,0.5621451671664864,0.6308333333333332,0.11242590152332928,0.47920000000000007,0.09173527129735869,0.4075515247276911,49,50
sk_windows_ratios,LR_elastic,stratified 5-fold,0.5688909313725491,0.03616369243015187,0.5647942737816122,0.6291666666666667,0.067700320038633,0.44117647058823534,0.10522672835293127,0.42536866736285434,32,5
sk_windows_ratios,SVM_poly2,train-all,0.917887667887668,0.0,0.8989829973088984,0.9615384615384616,0.0,0.5476190476190477,0.0,0.019486375421613356,162,1
sk_windows_ratios,SVM_poly2,70/30 x50,0.5913333333333334,0.06356798635232115,0.5991474138849822,0.7291666666666665,0.11311559967081858,0.36800000000000005,0.11027239001672176,0.15923423127919623,49,50
sk_windows_ratios,SVM_poly2,stratified 5-fold,0.5816390931372549,0.033677759937108157,0.5978769671755918,0.6658333333333333,0.10993685056026987,0.4051470588235294,0.046527329469283445,0.21788596560888096,32,5
sk_windows_ratios,RF_depth2,train-all,0.8543956043956045,0.0,0.8491742203902024,0.9615384615384616,0.0,0.4523809523809524,0.0,0.4252161709830207,162,1
sk_windows_ratios,RF_depth2,70/30 x50,0.5895333333333334,0.06539031528700052,0.6000925907880893,0.7725,0.09654086641878085,0.3232,0.10964378687367561,0.43808606978306036,49,50
