feature,auc_raw,auc_oriented,direction
sk_ratio_q10_15_to_q06_10_mahalanobis,0.42933455433455436,0.5706654456654456,-1
sk_q02_23_meanrms,0.42994505494505497,0.570054945054945,-1
sk_target_sigma_over_contralateral_q10_15,0.5691391941391941,0.5691391941391941,1
sk_q10_15_mahalanobis,0.4311660561660562,0.5688339438339438,-1
sk_q13_16_meanrms,0.4337606837606838,0.5662393162393162,-1
sk_q06_10_wasserstein,0.43513431013431014,0.5648656898656899,-1
sk_q13_16_wasserstein,0.4365079365079365,0.5634920634920635,-1
sk_q10_15_sigma_contralateral,0.4397130647130647,0.5602869352869353,-1
sk_q02_06_sigma_contralateral,0.4426129426129426,0.5573870573870574,-1
sk_q02_23_peak,0.5572344322344323,0.5572344322344323,1
sk_q06_10_sigma_contralateral,0.4435286935286935,0.5564713064713065,-1
sk_q06_10_cosine,0.4436813186813187,0.5563186813186813,-1
sk_q02_06_meanrms,0.4438339438339438,0.5561660561660562,-1
sk_ratio_q10_15_to_q06_10_meanrms,0.44413919413919417,0.5558608058608059,-1
sk_q02_23_sigma_contralateral,0.445970695970696,0.5540293040293041,-1
target_measurements,0.5515873015873016,0.5515873015873016,1
sk_target_sigma_over_contralateral_q15_23,0.5488400488400489,0.5488400488400489,1
sk_q02_06_wasserstein,0.4516178266178266,0.5483821733821734,-1
sk_q02_06_cosine,0.45238095238095244,0.5476190476190476,-1
sk_ratio_q13_16_to_q10_15_cosine,0.5474664224664225,0.5474664224664225,1
sk_ratio_q15_23_to_q10_15_cosine,0.5471611721611722,0.5471611721611722,1
sk_ratio_q13_16_to_q10_15_wasserstein,0.547008547008547,0.547008547008547,1
sk_q02_23_cosine,0.4545177045177045,0.5454822954822955,-1
sk_ratio_q13_16_to_q10_15_meanrms,0.5416666666666666,0.5416666666666666,1
sk_q13_16_mahalanobis,0.4586385836385837,0.5413614163614163,-1
sk_q13_16_weightedrms,0.4597069597069597,0.5402930402930404,-1
sk_ratio_q15_23_to_q06_10_weightedrms,0.5399877899877901,0.5399877899877901,1
sk_q15_23_sigma_target,0.5396825396825398,0.5396825396825398,1
sk_q15_23_cosine,0.4606227106227106,0.5393772893772895,-1
sk_q06_10_meanrms,0.46062271062271065,0.5393772893772893,-1
sk_q15_23_wasserstein,0.46153846153846156,0.5384615384615384,-1
sk_q02_06_sigma_target,0.46352258852258854,0.5364774114774115,-1
sk_q02_06_mahalanobis,0.4636752136752137,0.5363247863247863,-1
sk_ratio_q15_23_to_q10_15_wasserstein,0.536019536019536,0.536019536019536,1
sk_logdiff_q15_23_minus_q06_10_cosine,0.4655067155067155,0.5344932844932845,-1
sk_ratio_q10_15_to_q06_10_wasserstein,0.46855921855921856,0.5314407814407814,-1
sk_logdiff_q15_23_minus_q06_10_weightedrms,0.5312881562881563,0.5312881562881563,1
sk_q02_23_mahalanobis,0.4696275946275946,0.5303724053724054,-1
sk_q10_15_peak,0.5297619047619047,0.5297619047619047,1
sk_logdiff_q13_16_minus_q10_15_mahalanobis,0.5288461538461539,0.5288461538461539,1
sk_ratio_q13_16_to_q10_15_mahalanobis,0.5280830280830281,0.5280830280830281,1
sk_q06_10_peak,0.5268620268620269,0.5268620268620269,1
sk_q06_10_weightedrms,0.4732905982905983,0.5267094017094017,-1
sk_logdiff_q15_23_minus_q10_15_cosine,0.5265567765567766,0.5265567765567766,1
sk_logdiff_q15_23_minus_q06_10_wasserstein,0.47390109890109894,0.526098901098901,-1
sk_q02_06_weightedrms,0.47771672771672774,0.5222832722832722,-1
sk_ratio_q15_23_to_q06_10_meanrms,0.5206043956043956,0.5206043956043956,1
sk_q15_23_sigma_contralateral,0.48107448107448114,0.5189255189255189,-1
sk_q13_16_sigma_contralateral,0.4827533577533577,0.5172466422466423,-1
sk_logdiff_q15_23_minus_q10_15_wasserstein,0.517094017094017,0.517094017094017,1
sk_q15_23_weightedrms,0.517094017094017,0.517094017094017,1
sk_q02_06_peak,0.5151098901098901,0.5151098901098901,1
min_measurements_per_breast,0.5148046398046398,0.5148046398046398,1
