model_name,ablation,split_id,threshold_provenance,threshold_sample_count,threshold_cancer_cases,threshold_benign_cases,test_patients,test_target_cases,test_cancer_cases,test_benign_cases,lr1_c,current_lr2_c,threshold_youden,threshold_target,target_sensitivity,target_reached,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,true_positives,true_negatives,false_positives,false_negatives,profile_c,age_c,symmetry_c
recalibrated_joint_additive,calibrated_profile,3,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.4156700090513411,0.3544996774632335,0.95,True,0.555921052631579,0.5297560779969246,1.0,0.0,0.5,0.45714285714285713,,0.24581288725488296,0.6846117665451372,0.3804498263700806,2.071553541674513,16,0,19,0,1.0,0.1,0.1
recalibrated_joint_additive,profile_age,3,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.36663313515595214,0.2511673941326522,0.95,True,0.6776315789473685,0.6642189402949397,1.0,0.15789473684210525,0.5789473684210527,0.5,1.0,0.22230168769902003,0.6292168358012619,0.12888834217178707,1.1315040001883012,16,3,16,0,3.0,1.0,0.1
recalibrated_joint_additive,profile_symmetry,3,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.41666215412812924,0.35393036936791733,0.95,True,0.549342105263158,0.5265153372561839,1.0,0.0,0.5,0.45714285714285713,,0.24575013922189218,0.6844859160323039,0.39672535437947715,2.1351543978123306,16,0,19,0,1.0,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,3,outer_train_full_chain_lr1_oof_meta_oof_scores,140,60,80,33,35,16,19,0.1,,0.34114088031230083,0.2589539957895905,0.95,True,0.6710526315789473,0.6545501368761362,1.0,0.15789473684210525,0.5789473684210527,0.5,1.0,0.22249600584557236,0.630604187978414,0.15103716430502873,1.2217978430696625,16,3,16,0,3.0,0.3,0.001
current_product_exact_legacy,current_product_exact_legacy,4,legacy_outer_train_fitted_lr1_fitted_lr2_scores,139,61,78,32,36,15,21,0.1,0.3,0.36500747991769933,0.36500747991769933,0.95,True,0.5968253968253969,0.4825991120353866,0.6666666666666666,0.5238095238095238,0.5952380952380952,0.5,0.6875,0.2815645350946242,0.7972199659505215,-0.2771078005165806,0.22659938423416912,10,11,10,5,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,4,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,139,61,78,32,36,15,21,0.1,0.3,0.4598045264898781,0.3425807435942214,0.95,True,0.6507936507936508,0.5716858219438865,0.8666666666666667,0.2857142857142857,0.5761904761904761,0.4642857142857143,0.75,0.22808917124097064,0.6445445480284229,-0.2905297488011789,0.8046665505510957,13,6,15,2,,,
recalibrated_joint_additive,calibrated_profile,4,outer_train_full_chain_lr1_oof_meta_oof_scores,139,61,78,32,36,15,21,0.1,,0.4381191599463361,0.31166257918028967,0.95,True,0.5238095238095238,0.42118460541787117,0.9333333333333333,0.19047619047619047,0.5619047619047619,0.45161290322580644,0.8,0.2536687651478173,0.7001447337489911,-0.2871023707164,0.2192940959702406,14,4,17,1,0.1,0.1,0.1
recalibrated_joint_additive,profile_age,4,outer_train_full_chain_lr1_oof_meta_oof_scores,139,61,78,32,36,15,21,0.1,,0.3967828302964415,0.23235111245258586,0.95,True,0.6603174603174603,0.5521793776399039,0.9333333333333333,0.23809523809523808,0.5857142857142857,0.4666666666666667,0.8333333333333334,0.23201950771241536,0.6537592460998296,-0.18925347603440168,0.6521610030502716,14,5,16,1,0.3,0.3,0.1
recalibrated_joint_additive,profile_symmetry,4,outer_train_full_chain_lr1_oof_meta_oof_scores,139,61,78,32,36,15,21,0.1,,0.4344459926343191,0.33845917392167724,0.95,True,0.5269841269841271,0.4234068276400934,0.8666666666666667,0.23809523809523808,0.5523809523809524,0.4482758620689655,0.7142857142857143,0.25319329209144154,0.6990517409139253,-0.2864724914261464,0.22214430506363664,13,5,16,2,0.3,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,4,outer_train_full_chain_lr1_oof_meta_oof_scores,139,61,78,32,36,15,21,0.1,,0.4056176617885558,0.250809073647083,0.95,True,0.6476190476190476,0.5704550527131172,0.8666666666666667,0.23809523809523808,0.5523809523809524,0.4482758620689655,0.7142857142857143,0.22600939686950727,0.6389042648564236,-0.11217134051729573,0.7280046443456246,13,5,16,2,0.3,1.0,0.3
current_product_exact_legacy,current_product_exact_legacy,5,legacy_outer_train_fitted_lr1_fitted_lr2_scores,138,61,77,33,37,15,22,0.1,0.3,0.41488971618814746,0.29393859652867715,0.95,True,0.593939393939394,0.49316931706637585,0.8,0.3181818181818182,0.5590909090909091,0.4444444444444444,0.7,0.2886965471427205,0.8448598662963225,-0.35580281954092025,0.1642207783139294,12,7,15,3,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,5,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,138,61,77,33,37,15,22,0.1,0.3,0.4899124546330077,0.2278494210599516,0.95,True,0.7333333333333333,0.6183401930865698,1.0,0.18181818181818182,0.5909090909090909,0.45454545454545453,1.0,0.20949829469390654,0.6078626777385241,-0.27406629869179566,1.1822810430777873,15,4,18,0,,,
recalibrated_joint_additive,calibrated_profile,5,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.4174511384284756,0.27697884494612346,0.95,True,0.5333333333333333,0.45995775619177154,0.8666666666666667,0.045454545454545456,0.45606060606060606,0.38235294117647056,0.3333333333333333,0.2529183754597851,0.7021952653828055,-0.4042276592317042,-0.09011960997354712,13,1,21,2,3.0,0.1,0.1
recalibrated_joint_additive,profile_age,5,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.42215008213387667,0.2062056755688889,0.95,True,0.7393939393939394,0.6420675004008337,0.9333333333333333,0.18181818181818182,0.5575757575757576,0.4375,0.8,0.20519502206286946,0.6046208524013952,-0.08843745546832996,1.1061642239099103,14,4,18,1,3.0,3.0,0.1
recalibrated_joint_additive,profile_symmetry,5,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.4061779801917785,0.2799670193107659,0.95,True,0.5333333333333333,0.45995775619177154,0.8666666666666667,0.09090909090909091,0.4787878787878788,0.3939393939393939,0.5,0.25489202240951286,0.7071869317873102,-0.4030365080899107,-0.08456453219116636,13,2,20,2,0.3,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,5,outer_train_full_chain_lr1_oof_meta_oof_scores,138,61,77,33,37,15,22,0.1,,0.4219488246430465,0.20837168032496928,0.95,True,0.7424242424242424,0.6451230559563892,0.9333333333333333,0.18181818181818182,0.5575757575757576,0.4375,0.8,0.20527120970326554,0.6045222604479956,-0.08630987700015795,1.1081929883056594,14,4,18,1,3.0,3.0,0.001
current_product_exact_legacy,current_product_exact_legacy,6,legacy_outer_train_fitted_lr1_fitted_lr2_scores,140,60,80,33,35,16,19,0.1,0.3,0.5162958293088048,0.26414708324330316,0.95,True,0.6578947368421053,0.5838872881611852,1.0,0.2631578947368421,0.631578947368421,0.5333333333333333,1.0,0.2435298751837788,0.6939525538714649,-0.2203339958386955,0.47080787331996965,16,5,14,0,,,
current_architecture_oof_retrained,current_architecture_oof_retrained,6,outer_train_full_chain_lr1_oof_current_lr2_oof_scores,140,60,80,33,35,16,19,0.1,0.3,0.46688521140222,0.16981573230153313,0.95,True,0.6546052631578947,0.6436491941401965,1.0,0.15789473684210525,0.5789473684210527,0.5,1.0,0.22227890594837652,0.6266747671500807,-0.2063686671775851,1.0505212449742884,16,3,16,0,,,
