split_id,model_name,ablation,delta_roc_auc,delta_pr_auc,delta_brier_score,delta_log_loss,delta_sensitivity,delta_specificity,delta_balanced_accuracy
16,recalibrated_joint_additive,calibrated_profile,-0.006666666666666599,-0.06241063767150734,0.03015470293628364,0.039368141815551816,0.19999999999999996,-0.55,-0.17500000000000004
17,recalibrated_joint_additive,calibrated_profile,-0.046052631578947345,-0.10223101970922865,-0.04815246639998494,-0.1270546347050755,0.125,-0.15789473684210525,-0.016447368421052655
18,recalibrated_joint_additive,calibrated_profile,-0.030000000000000027,-0.10457343956708731,0.0010202338040381231,0.011486094091928134,0.0,0.0,0.0
19,recalibrated_joint_additive,calibrated_profile,-0.043333333333333335,-0.07623283092323341,-0.02121701970999676,-0.07992718592033665,0.06666666666666676,-0.35,-0.14166666666666666
20,recalibrated_joint_additive,calibrated_profile,0.0736842105263158,0.053159750549394036,-0.0012027701012733982,-0.11419737358263837,0.19999999999999996,-0.3684210526315789,-0.08421052631578951
21,recalibrated_joint_additive,calibrated_profile,-0.04761904761904767,-0.06690135646286938,0.0033334219604755078,-0.015789500277278767,0.2666666666666667,-0.23809523809523808,0.014285714285714346
22,recalibrated_joint_additive,calibrated_profile,-0.07638888888888884,-0.07454466435802604,-0.007661854728694573,-0.04754122731758792,0.125,-0.5,-0.1875
23,recalibrated_joint_additive,calibrated_profile,-0.036666666666666625,-0.09791532169405726,-0.0032965792684916395,-0.003797644439173631,0.19999999999999996,-0.35,-0.07499999999999996
24,recalibrated_joint_additive,calibrated_profile,-0.04761904761904767,-0.025861712415963023,-0.012600169496972485,-0.02729569306989954,0.06666666666666665,-0.23809523809523808,-0.08571428571428574
25,recalibrated_joint_additive,calibrated_profile,-0.029629629629629672,-0.09816228733505228,0.017800000956161022,0.03619949352231422,0.06666666666666665,-0.38888888888888895,-0.1611111111111111
26,recalibrated_joint_additive,calibrated_profile,-0.05454545454545445,-0.08145206409269456,-0.03048384020282882,-0.08330225841967231,0.06666666666666665,-0.09090909090909088,-0.0121212121212122
27,recalibrated_joint_additive,calibrated_profile,0.005952380952381042,0.06908851228283586,0.008582245901318952,0.017953382289856434,0.125,-0.2857142857142857,-0.0803571428571428
28,recalibrated_joint_additive,calibrated_profile,-0.059259259259259234,-0.09013823502787854,0.0023530474378214983,-0.0027332143752358817,0.1333333333333333,-0.2777777777777778,-0.07222222222222219
29,recalibrated_joint_additive,calibrated_profile,-0.09666666666666673,-0.06302572136575435,-0.035566023638924804,-0.1268500274527079,0.33333333333333337,-0.4,-0.033333333333333326
30,recalibrated_joint_additive,calibrated_profile,-0.08666666666666656,-0.09561774232732156,0.00361407679491188,-0.03311862717020564,0.1333333333333333,-0.35,-0.10833333333333339
31,recalibrated_joint_additive,calibrated_profile,-0.05666666666666664,-0.12389288489288486,-0.030284685673600292,-0.07744394380411512,0.2666666666666667,-0.2,0.033333333333333326
32,recalibrated_joint_additive,calibrated_profile,-0.0454545454545453,-0.043325561119221145,-0.02549207763257541,-0.06224288378943199,0.13333333333333341,-0.09090909090909094,0.021212121212121238
33,recalibrated_joint_additive,calibrated_profile,-0.10526315789473684,-0.0537043293400139,0.05081585875392711,0.11202189371741611,0.06666666666666665,-0.42105263157894735,-0.17719298245614046
34,recalibrated_joint_additive,calibrated_profile,-0.04166666666666663,-0.03437856777566445,-0.004261015436061111,-0.02755345809837173,0.0625,-0.1111111111111111,-0.02430555555555558
35,recalibrated_joint_additive,calibrated_profile,-0.0031250000000000444,-0.0335557296838046,-0.0673983139271847,-0.17739626780691486,0.125,-0.1,0.012500000000000067
36,recalibrated_joint_additive,calibrated_profile,-0.024242424242424288,0.005754075885666343,-0.015954537193231366,-0.058587282681322184,0.06666666666666665,-0.3181818181818182,-0.12575757575757573
37,recalibrated_joint_additive,calibrated_profile,-0.07666666666666666,-0.034978565273187656,0.027374220478878414,0.04291111125767544,0.2666666666666667,-0.5,-0.1166666666666667
38,recalibrated_joint_additive,calibrated_profile,-0.051851851851851816,-0.03017122898107316,-0.03763053264124194,-0.1131658721229325,0.1333333333333333,-0.16666666666666669,-0.01666666666666672
39,recalibrated_joint_additive,calibrated_profile,-0.02807017543859658,-0.14577494692797321,-0.011136049603997222,-0.06182899789534946,0.1333333333333333,-0.2631578947368421,-0.06491228070175437
40,recalibrated_joint_additive,calibrated_profile,-0.04761904761904756,-0.04353979200166658,0.018090689474520777,0.03455881769915048,0.0,-0.19047619047619047,-0.09523809523809512
41,recalibrated_joint_additive,calibrated_profile,-0.04761904761904767,-0.08389047152201684,-0.02169750245682628,-0.07137994903723743,0.06666666666666665,-0.23809523809523808,-0.08571428571428574
42,recalibrated_joint_additive,calibrated_profile,-0.038596491228070184,-0.05948410249880842,0.02340282853874584,0.047149080043590086,0.2666666666666667,-0.6842105263157895,-0.2087719298245614
43,recalibrated_joint_additive,calibrated_profile,-0.024561403508772006,-0.07665971717211228,-0.029856097435222134,-0.2609900371218137,0.20000000000000007,-0.3684210526315789,-0.0842105263157894
44,recalibrated_joint_additive,calibrated_profile,0.0164473684210526,-0.01266228177810852,-0.0799358744637329,-0.23536194643554864,0.3125,-0.3157894736842105,-0.00164473684210531
45,recalibrated_joint_additive,calibrated_profile,-0.053968253968254,-0.11113113062709307,0.005787551642396138,-0.01298857552016719,-0.06666666666666676,-0.09523809523809523,-0.08095238095238105
46,recalibrated_joint_additive,calibrated_profile,-0.06333333333333335,-0.03164152074624549,-0.031000706960447516,-0.0976001880774946,0.06666666666666665,-0.4,-0.16666666666666674
47,recalibrated_joint_additive,calibrated_profile,-0.07894736842105265,-0.12338305064111499,-0.0067268457213036925,-0.026618542203617257,0.375,-0.4736842105263158,-0.049342105263157965
48,recalibrated_joint_additive,calibrated_profile,-0.01754385964912286,-0.0016290566084279368,-0.03710628022252993,-0.1248915965554479,0.33333333333333337,-0.42105263157894735,-0.04385964912280693
49,recalibrated_joint_additive,calibrated_profile,-0.040000000000000036,-0.08093679601740045,-0.025680841389493503,-0.09048467223557932,0.06666666666666665,-0.2,-0.06666666666666665
0,recalibrated_joint_additive,profile_age,0.011111111111111183,0.014173789173789086,-0.0264239557988393,-0.10584997608999014,0.13333333333333341,-0.3888888888888889,-0.12777777777777777
1,recalibrated_joint_additive,profile_age,0.023333333333333317,-0.03814726219424025,-0.023310174618109275,-0.05821261029062552,0.1333333333333333,-0.3,-0.08333333333333337
2,recalibrated_joint_additive,profile_age,0.031746031746031744,0.0072240137691946815,-0.01873357141200882,-0.050395181079255336,0.06666666666666665,0.0,0.033333333333333326
3,recalibrated_joint_additive,profile_age,0.0296052631578948,0.02112412840913258,-0.03854414102823395,-0.10120547468609453,0.0625,-0.05263157894736842,0.004934210526315819
4,recalibrated_joint_additive,profile_age,0.06349206349206338,0.0695802656045173,-0.04954502738220884,-0.14346071985069186,0.2666666666666667,-0.28571428571428575,-0.00952380952380949
5,recalibrated_joint_additive,profile_age,0.1454545454545454,0.14889818333445787,-0.08350152507985106,-0.2402390138949273,0.1333333333333333,-0.13636363636363635,-0.0015151515151514694
6,recalibrated_joint_additive,profile_age,0.023026315789473673,0.07489719252652982,-0.030381213962149073,-0.08586052181296877,0.0,0.0,0.0
7,recalibrated_joint_additive,profile_age,-0.033333333333333326,-0.08099346104586747,0.024884783166167684,0.057668343848563675,0.06666666666666665,-0.09999999999999998,-0.016666666666666607
8,recalibrated_joint_additive,profile_age,0.026666666666666727,-0.02038751884646428,-0.026465185473334263,-0.07190197513217522,0.1333333333333333,-0.15000000000000002,-0.008333333333333304
9,recalibrated_joint_additive,profile_age,0.040740740740740744,0.05343486355979854,-0.029923746106226945,-0.0817870545307261,0.19999999999999996,-0.5555555555555556,-0.17777777777777776
10,recalibrated_joint_additive,profile_age,-0.022222222222222254,0.026578033140851498,-0.023547936469325653,-0.05962724848869405,0.1333333333333333,-0.047619047619047616,0.042857142857142816
11,recalibrated_joint_additive,profile_age,0.05396825396825411,0.06103464366259803,-0.04197053511368706,-0.12446876835072618,0.20000000000000007,-0.14285714285714285,0.02857142857142858
12,recalibrated_joint_additive,profile_age,0.11513157894736858,0.11223314764195236,-0.03617605770591828,-0.09801979206334743,0.1875,-0.10526315789473684,0.04111842105263164
13,recalibrated_joint_additive,profile_age,0.043333333333333335,0.014510712112948743,-0.026912234040144617,-0.06359917601800069,0.06666666666666665,-0.15000000000000002,-0.04166666666666674
14,recalibrated_joint_additive,profile_age,-0.014814814814814836,0.02413545777338877,0.0028054214737445182,0.007893677012648537,0.0,-0.1111111111111111,-0.05555555555555558
15,recalibrated_joint_additive,profile_age,0.10999999999999999,0.14173863551882132,-0.04855924948829893,-0.13022896749973878,0.19999999999999996,-0.25,-0.025000000000000022
16,recalibrated_joint_additive,profile_age,-0.19333333333333336,-0.17448117157068566,0.04513824937233213,0.08022120250727671,-0.06666666666666676,-0.30000000000000004,-0.1833333333333334
17,recalibrated_joint_additive,profile_age,0.0296052631578948,-0.07333811374144783,-0.05680183061185837,-0.14594418843294565,0.1875,-0.05263157894736842,0.06743421052631571
18,recalibrated_joint_additive,profile_age,0.14,0.11771742834671906,-0.038476910951765586,-0.07627300118266955,0.0,-0.04999999999999999,-0.025000000000000022
19,recalibrated_joint_additive,profile_age,0.07333333333333325,0.03870301917438135,-0.05258024866023214,-0.14985523301665205,0.20000000000000007,-0.30000000000000004,-0.050000000000000044
20,recalibrated_joint_additive,profile_age,-0.014035087719298178,-0.12257188618105297,-0.006675665021323135,-0.1302137329154036,0.19999999999999996,-0.21052631578947367,-0.0052631578947368585
21,recalibrated_joint_additive,profile_age,0.07619047619047614,0.14671282068388236,-0.0325440776529633,-0.09713519274538174,0.20000000000000007,-0.19047619047619047,0.004761904761904856
22,recalibrated_joint_additive,profile_age,0.08680555555555558,0.19561711840325424,-0.04272110923690617,-0.1129111418852724,-0.0625,-0.05555555555555558,-0.05902777777777779
23,recalibrated_joint_additive,profile_age,-0.04999999999999993,-0.11433279184191958,0.002498476443051456,0.0076216865607607875,0.19999999999999996,-0.24999999999999997,-0.02499999999999991
