ablation,selection_step,candidate_c,profile_c,age_c,symmetry_c,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,selected,selected_at_grid_boundary,outer_split_id,selection_scope
profile_age_symmetry,symmetry_c,0.1,0.1,1.0,0.1,0.6800242865816636,0.5871805968464431,0.5245901639344263,0.7160493827160493,0.6203197733252378,0.5818181818181818,0.6666666666666666,0.22383979064013737,0.6438544651960646,-0.07174167586573332,0.6977247791198576,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,0.3,0.1,1.0,0.3,0.6767860756931796,0.5783227651350872,0.5245901639344263,0.691358024691358,0.6079740943128922,0.5614035087719298,0.6588235294117647,0.22623818714821398,0.6556890071022556,-0.09259850537176577,0.6044129778313619,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,1.0,0.1,1.0,1.0,0.674762193887877,0.575030945450424,0.5081967213114754,0.7283950617283951,0.6182958915199352,0.5849056603773585,0.6629213483146067,0.2287315121100031,0.667322066732686,-0.10676381046387673,0.532415200548016,False,False,0,outer_train_nested_full_chain
profile_age_symmetry,symmetry_c,3.0,0.1,1.0,3.0,0.6753693584294678,0.5753500106774976,0.5081967213114754,0.7283950617283951,0.6182958915199352,0.5849056603773585,0.6629213483146067,0.23038692696342072,0.6745341764604667,-0.1132461876279054,0.496733324787316,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.001,0.001,0.1,0.1,0.5324756173479975,0.445578726115199,0.3114754098360656,0.6962025316455697,0.5038389707408176,0.4418604651162791,0.5670103092783505,0.2647847198909734,0.7355217361073486,-0.27060959866973705,-0.041166722949454004,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,0.003,0.003,0.1,0.1,0.5324756173479975,0.445578726115199,0.3114754098360656,0.6962025316455697,0.5038389707408176,0.4418604651162791,0.5670103092783505,0.26431189617736206,0.7339662243235491,-0.2710855698893922,-0.04293393815631885,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,0.01,0.01,0.1,0.1,0.5330981531438057,0.44599387115455313,0.29508196721311475,0.7088607594936709,0.5019713633533929,0.43902439024390244,0.5656565656565656,0.26282958003253004,0.7291951555278903,-0.2730944996182286,-0.050334905144734286,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,0.03,0.03,0.1,0.1,0.5324756173479975,0.4458309341895481,0.2459016393442623,0.759493670886076,0.5026976551151692,0.4411764705882353,0.5660377358490566,0.25978851710776385,0.7198726694675537,-0.2817405023734434,-0.08202383144368977,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,0.1,0.1,0.1,0.1,0.5297779622328284,0.4491731691567361,0.16393442622950818,0.8227848101265823,0.49335961817804524,0.4166666666666667,0.5603448275862069,0.25606335549433246,0.7089129505540583,-0.3370125058724734,-0.2882232158118035,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,0.3,0.3,0.1,0.1,0.5148371031334302,0.44338152393629243,0.08196721311475409,0.8860759493670886,0.4840215812409213,0.35714285714285715,0.5555555555555556,0.25508945387041654,0.7053869642068756,-0.4602323104434559,-0.7497295447994793,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,1.0,1.0,0.1,0.1,0.5019713633533928,0.43702250057174047,0.06557377049180328,0.8987341772151899,0.48215397385349656,0.3333333333333333,0.5546875,0.2537398917072552,0.7020571667694054,-0.5160589818512831,-0.9580898973326651,False,False,1,outer_train_nested_full_chain
calibrated_profile,profile_c,3.0,3.0,0.1,0.1,0.4986511724424155,0.4333758505224885,0.06557377049180328,0.9113924050632911,0.4884830877775472,0.36363636363636365,0.5581395348837209,0.2531792955374559,0.7007584850189813,-0.5322108032931026,-1.020308853298392,True,True,1,outer_train_nested_full_chain
profile_age,profile_c,0.001,0.001,0.1,0.1,0.6156879020543681,0.5427553242957074,0.5081967213114754,0.6962025316455697,0.6021996264785225,0.5636363636363636,0.6470588235294118,0.24516838366375474,0.6979838202207623,-0.1449302833328956,0.3971353708339396,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,0.003,0.003,0.1,0.1,0.6188005810334093,0.5463833083425804,0.5081967213114754,0.6835443037974683,0.5958705125544719,0.5535714285714286,0.6428571428571429,0.24456646631978124,0.6960386846194323,-0.14223942200400017,0.4081811990759738,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,0.01,0.01,0.1,0.1,0.6229508196721312,0.5516724692157365,0.5081967213114754,0.7088607594936709,0.6085287404025732,0.5740740740740741,0.6511627906976745,0.2426453728889452,0.6899634510702297,-0.13289314066538693,0.4472243881524303,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,0.03,0.03,0.1,0.1,0.6291761776302138,0.5608873849680107,0.5081967213114754,0.759493670886076,0.6338451960987757,0.62,0.6666666666666666,0.2384885200214893,0.6774653638100476,-0.1079665650836986,0.5510028204091079,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,0.1,0.1,0.1,0.1,0.6447395725254201,0.5888832713057963,0.45901639344262296,0.7848101265822784,0.6219132600124507,0.6222222222222222,0.6526315789473685,0.23228198051333188,0.66007668313886,-0.045298682852768404,0.8110912431797226,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,0.3,0.3,0.1,0.1,0.6557377049180327,0.6173869925352292,0.4262295081967213,0.7848101265822784,0.6055198173894999,0.6046511627906976,0.6391752577319587,0.2295745066747978,0.652126431685356,0.0130354898210957,1.0459772341274738,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,1.0,1.0,0.1,0.1,0.6617555509441793,0.6253481064512876,0.39344262295081966,0.7721518987341772,0.5827972608424985,0.5714285714285714,0.6224489795918368,0.2273932894172684,0.646594860424635,0.047399324695454347,1.1845215777511138,False,False,1,outer_train_nested_full_chain
profile_age,profile_c,3.0,3.0,0.1,0.1,0.6636231583316041,0.6283061754208297,0.4098360655737705,0.7721518987341772,0.5909939821539738,0.5813953488372093,0.6288659793814433,0.2266889460999217,0.6448478637798954,0.058465156017560874,1.2291863094079585,True,True,1,outer_train_nested_full_chain
profile_age,age_c,0.001,3.0,0.001,0.1,0.5513592031541813,0.4693756802026249,0.06557377049180328,0.9113924050632911,0.4884830877775472,0.36363636363636365,0.5581395348837209,0.2518710511209951,0.6981043890516093,-0.4637856307321718,-0.7668304261117714,False,False,1,outer_train_nested_full_chain
profile_age,age_c,0.003,3.0,0.003,0.1,0.5741855156671508,0.4861767962272412,0.06557377049180328,0.9113924050632911,0.4884830877775472,0.36363636363636365,0.5581395348837209,0.24950936377132038,0.6933120107696761,-0.3371045705456351,-0.2939317165338121,False,False,1,outer_train_nested_full_chain
profile_age,age_c,0.01,3.0,0.01,0.1,0.6071799128449886,0.5416759563013317,0.14754098360655737,0.9240506329113924,0.5357958082589749,0.6,0.584,0.24327016431461343,0.680603036794946,-0.042829875464019486,0.8224122243450478,False,False,1,outer_train_nested_full_chain
profile_age,age_c,0.03,3.0,0.03,0.1,0.646607179912845,0.5960106556539853,0.3442622950819672,0.8607594936708861,0.6025108943764267,0.65625,0.6296296296296297,0.23430503407775113,0.66193604258913,0.10902809061023522,1.4244488544125375,False,False,1,outer_train_nested_full_chain
profile_age,age_c,0.1,3.0,0.1,0.1,0.6636231583316041,0.6283061754208297,0.4098360655737705,0.7721518987341772,0.5909939821539738,0.5813953488372093,0.6288659793814433,0.2266889460999217,0.6448478637798954,0.058465156017560874,1.2291863094079585,False,False,1,outer_train_nested_full_chain
profile_age,age_c,0.3,3.0,0.3,0.1,0.672961195268728,0.6321870511803148,0.4098360655737705,0.7341772151898734,0.572006640381822,0.5434782608695652,0.6170212765957447,0.22418393134463943,0.638219695045742,0.016648483864083095,1.056338962718985,False,False,1,outer_train_nested_full_chain
profile_age,age_c,1.0,3.0,1.0,0.1,0.6762813861797052,0.6352995398944576,0.4426229508196721,0.7341772151898734,0.5884000830047728,0.5625,0.6304347826086957,0.2236007778715982,0.6361817723230931,-0.0023207510415658543,0.9763540969838929,False,False,1,outer_train_nested_full_chain
profile_age,age_c,3.0,3.0,3.0,0.1,0.6762813861797053,0.6356169792344981,0.4426229508196721,0.7341772151898734,0.5884000830047728,0.5625,0.6304347826086957,0.22350954786336283,0.6357116171981624,-0.008122592297005052,0.9512006921411974,True,True,1,outer_train_nested_full_chain
profile_symmetry,profile_c,0.001,0.001,0.1,0.1,0.5088192571072836,0.4259224947375299,0.2786885245901639,0.6708860759493671,0.4747873002697655,0.3953488372093023,0.5463917525773195,0.2686369580595427,0.7380697353220196,-0.2853988997752922,-0.10342609119501656,False,False,1,outer_train_nested_full_chain
profile_symmetry,profile_c,0.003,0.003,0.1,0.1,0.5086117451753476,0.42594260072142565,0.2786885245901639,0.6708860759493671,0.4747873002697655,0.3953488372093023,0.5463917525773195,0.2682159435912372,0.7368986334523626,-0.28643297022088465,-0.10761010166641605,False,False,1,outer_train_nested_full_chain
profile_symmetry,profile_c,0.01,0.01,0.1,0.1,0.5079892093795393,0.42488662543265726,0.2786885245901639,0.6708860759493671,0.4747873002697655,0.3953488372093023,0.5463917525773195,0.2668956327342461,0.7332671595539362,-0.29035372656192976,-0.12347898209020541,False,False,1,outer_train_nested_full_chain
profile_symmetry,profile_c,0.03,0.03,0.1,0.1,0.506951649719859,0.4241975160347634,0.26229508196721313,0.6962025316455697,0.47924880680639137,0.4,0.55,0.2641653084008757,0.7259474819046347,-0.3039155746811757,-0.17852578928518884,False,False,1,outer_train_nested_full_chain
