split_id,component,aligned_coefficient,basis_abs_cosine
7,16,-0.03810947644854006,0.32786627778121863
7,17,-0.05727011946788195,0.191668262100609
7,18,-0.03766615265385594,0.29757935499641225
7,19,0.14952895575357691,0.21748535982403777
7,20,0.11656778403271631,0.03004941902879715
7,21,-0.06724924056088022,0.48288265300898575
7,22,0.14285719451869194,0.36451038683363374
7,23,-0.005340849134217252,0.10062273810526456
7,24,-0.08964811263397768,0.20545958798198619
7,25,-0.03643029574139123,0.018806987521989907
7,26,0.08609951361490786,0.14822373822728604
7,27,0.033938450633323874,0.03731748599285932
7,28,-0.14290857922214248,0.36025516696270654
7,29,0.10422778080136913,0.09820601505673501
7,30,0.2829786367373578,0.050282264903647296
8,1,0.20643195504908524,0.9987955450399539
8,2,-0.19039499172331603,0.9987141132518558
8,3,0.08245818753485512,0.9989057555248039
8,4,-0.20122936619777643,0.9986352375588168
8,5,-0.10513869457956578,0.9960895205451892
8,6,-0.19691958457781095,0.9875091101793465
8,7,0.06941416456136518,0.9604342559615658
8,8,0.0830463118338783,0.8849428299020661
8,9,0.05130759102174012,0.8715554532477787
8,10,0.029048915491722886,0.11956298266719227
8,11,0.1834150648276827,0.02168440074848415
8,12,0.021029805656320247,0.6340496970170106
8,13,-0.16901689229366446,0.6217922592659112
8,14,0.08561812888726869,0.4020251577181994
8,15,-0.1144239432663515,0.5924080953579627
8,16,-0.11628784538916286,0.006372846354269511
8,17,0.024597341546635423,0.25549612965550356
8,18,0.16657069779391948,0.04325357773953962
8,19,-0.01680710016940473,0.13187474823368056
8,20,-0.38991491304445797,0.2592271804137667
8,21,-0.049209606408465195,0.2506863217229114
8,22,-0.011303406959493209,0.3369344843588494
8,23,0.12581456798695217,0.28815749229482024
8,24,0.11055440876266179,0.466529883928706
8,25,-0.10206705848718754,0.39155954733156073
8,26,0.04414967064478583,0.37066044402672477
8,27,-0.10680889278076072,0.08016254001603391
8,28,-0.15697698430069384,0.3267236190968637
8,29,-0.044076510147236105,0.19047259578368997
8,30,0.08487496198976525,0.3336519915738956
9,1,0.2144415892505612,0.9983176313503517
9,2,-0.0658638164687439,0.9981928249864827
9,3,0.052044832208148296,0.9992990452560662
9,4,-0.2100666527234472,0.9980149370861306
9,5,0.07975148287325798,0.9943382387243869
9,6,-0.18339034811485264,0.9810518327678821
9,7,0.24249342730426948,0.9637441495214486
9,8,0.13288823646324935,0.9441529903190403
9,9,0.12754156135586125,0.86057859742052
9,10,-0.20907470261552244,0.6033500503242726
9,11,0.12674024340658105,0.6700258291066684
9,12,0.11425442598639046,0.40313168305775154
9,13,0.06948141266104611,0.4746422140685224
9,14,-0.1717692846463184,0.17926799983008462
9,15,0.07811193168629814,0.1689787448448877
9,16,-0.025634762047314984,0.650243566379956
9,17,0.03794987991273574,0.34325326880180784
9,18,-0.061892216315394384,0.0638368332677969
9,19,0.07221237468352776,0.050829728296849286
9,20,-0.1194289871014093,0.06380658625921656
9,21,0.008717994738612128,0.09149835021657696
9,22,0.019736674493629477,0.016235194894901522
9,23,0.026215841754374514,0.36244600105773617
9,24,0.05985941503574337,0.1259742832653367
9,25,-0.2503145428015742,0.1770582369698627
9,26,0.11896191318157286,0.2638136342736561
9,27,0.18984040756760928,0.3294713560042253
9,28,0.11891102107162567,0.014101009819524779
9,29,-0.027935719392558185,0.2832111490760552
9,30,-0.03775630010415387,0.2412074986577574
10,1,0.19795146999650712,0.9996746509382288
10,2,-0.09607637333430115,0.9997134967161061
10,3,0.048251308715590385,0.9968348186405962
10,4,-0.24282763975103291,0.9955363377738208
10,5,-0.014403288623410507,0.9931638131486878
10,6,-0.24817265648371623,0.9847696194385465
10,7,0.09826118613670033,0.9719771361034915
10,8,-0.07578498705694818,0.923016599812176
10,9,0.009697171185504786,0.9649216469040343
10,10,-0.24842917653814198,0.38921366881429764
10,11,-0.06104840000063068,0.6589089500932395
10,12,-0.0069953778163497045,0.60921101927606
10,13,0.19618816177932005,0.39432048637658607
10,14,-0.020502745933155677,0.10949447613722145
10,15,-0.02788491263293983,0.1378921871687136
10,16,-0.06913937444173893,0.3652932197051129
10,17,0.03212351329136219,0.2291439417978799
10,18,0.017961668501875395,0.5959215453672495
10,19,-0.06294597024233291,0.10762370868924075
10,20,0.09685395010815068,0.500151313607971
10,21,0.03609641447931399,0.434561136562036
10,22,0.10652196103763696,0.2224750397212695
10,23,-0.20718006839082503,0.694767920114405
10,24,0.20747307114132782,0.22357969304135783
10,25,0.07774523508622261,0.4941521421694782
10,26,-0.0018668900145102042,0.03814967556297659
10,27,0.08224162302517432,0.2531282434203642
10,28,0.05057688429081399,0.28637971102493803
10,29,-0.23454004885802046,0.060673738284910086
10,30,-0.007308008418949541,0.06368353175919811
11,1,0.3707421435147442,0.9975899807464816
11,2,-0.17558621496458704,0.9977031119543578
11,3,0.008885027147298151,0.9985345087971528
11,4,-0.2536921359787997,0.9985940550726425
11,5,0.015373670950950448,0.9939356063031379
11,6,-0.20758345018905128,0.9668291696199731
11,7,0.006402215593026055,0.9336535791522204
11,8,-0.0034710599905962798,0.8716678734545378
11,9,-0.042681349305264175,0.8529555228674965
11,10,-0.06924082417236045,0.516285757364046
11,11,0.14838318540444384,0.5929864827833283
11,12,-0.09617534642217639,0.7270978588292545
11,13,0.09066252999286749,0.8075982444863512
11,14,-0.036231760835844895,0.5307808342753304
11,15,-0.14362122836543342,0.2608650591913211
11,16,-0.017871162309904105,0.22777426213050062
11,17,-0.09827020686021912,0.6053625697381868
11,18,0.0834469910663014,0.3115339269946652
