component,explained_variance_ratio,cumulative_explained_variance_ratio,lr1_coefficient_per_sd_train_all,abs_lr1_coefficient_per_sd_train_all,cancer_minus_benign_score_sd_train_all,univariate_auc_train_all,univariate_auc_direction,fold_aligned_lr1_coefficient_mean,fold_aligned_lr1_coefficient_sd,fold_mean_abs_lr1_coefficient,fold_coefficient_direction_consistency,fold_basis_abs_cosine_mean,fold_basis_abs_cosine_min,one_sd_max_q_nm_inv,one_sd_max_delta,one_sd_min_q_nm_inv,one_sd_min_delta,one_sd_peak_to_peak,model_activity_rank
30,0.0005286744423836071,0.9661725828929755,0.07073697793000643,0.07073697793000643,0.06646127632680422,0.5214007782101168,CANCER_higher,0.015485956818059152,0.14847629152741146,0.11640744077460406,0.53,0.21593783908595654,0.005022174632723919,11.966798176290467,0.018701712066755114,2.451171933906153,-0.01777966741542992,0.036481379482185036,11
27,0.0005539352554779966,0.9645595967276989,-0.06286027897955385,0.06286027897955385,-0.06717357738399372,0.5080860894941635,CANCER_lower,-0.010511095876214717,0.1375607007816754,0.11148806307963356,0.58,0.2143335435788675,0.005942489277985427,2.3691406731959432,0.021831461153232926,2.041015630355105,-0.01939578213944367,0.041227243292676595,12
26,0.000563717419137957,0.9640056614722209,-0.18904875835540808,0.18904875835540808,-0.1752530578623935,0.5607976653696498,CANCER_lower,-0.03625452632978257,0.11936608563627897,0.1042086454682995,0.59,0.25967030387333995,0.003458720779652827,18.03711146884598,0.01823102129103866,21.72851820080541,-0.018062403439914325,0.03629342473095298,13
23,0.000589262348559921,0.9622823447039046,-0.1274554065517515,0.1274554065517515,-0.11762511223179449,0.5340466926070039,CANCER_lower,-0.02995760736208884,0.12460719094351771,0.10105002140224156,0.61,0.2690537908535718,0.0013821858095246845,2.5332031946163625,0.02280973186481098,15.248048604698852,-0.021994449164682267,0.04480418102949325,14
20,0.0006324000974574016,0.9604646937851321,-0.023039848844736293,0.023039848844736293,-0.0202195829913505,0.5049043450064851,CANCER_lower,0.020119673260057452,0.12368630341799305,0.10021838136347952,0.58,0.31066505473480865,0.002663792959848456,3.1074220195878297,0.02319313019326399,16.970705079613253,-0.01905119569996236,0.04224432589322635,15
21,0.0006271990036428973,0.961091892788775,-0.11128933352743277,0.11128933352743277,-0.10584618654925364,0.5153818093385214,CANCER_lower,-0.026692399066530446,0.11855987416507413,0.09863949614984273,0.6,0.2671633648960839,0.004774040619207387,15.248048604698852,0.028814988311285105,13.36132960836403,-0.022731227303755125,0.05154621561504023,16
22,0.0006011895665696342,0.9616930823553447,0.06015929556658276,0.06015929556658276,0.06103181413955408,0.5190296692607004,CANCER_higher,0.034895812774604476,0.11409562543710612,0.09740064321089666,0.66,0.2948701520834998,0.005010582615601358,15.330079865409061,0.024203400698976155,2.7792969767469913,-0.018496706432532442,0.0427001071315086,17
9,0.0008698247272176902,0.9524125288219165,0.026785087500609202,0.026785087500609202,0.026714308651378884,0.5008916990920882,CANCER_higher,0.0045949614679296836,0.1186547295886653,0.09604847053597129,0.54,0.7127673249310276,0.13454318373454754,2.1230468910653144,0.03092293097458464,2.615234455326572,-0.027193583354364868,0.05811651432894951,18
12,0.0008133205748279843,0.954883315039446,-0.015520906536151938,0.015520906536151938,-0.027026190913289887,0.5072551880674449,CANCER_lower,-0.0009869129593692697,0.11899921203416426,0.0954389999591718,0.52,0.41552869029153244,0.015025913122952088,13.68945465120487,0.032474540327171966,13.36132960836403,-0.023803160959516016,0.05627770128668798,19
19,0.0006503572924759722,0.9598322936876748,0.15826386715255836,0.15826386715255836,0.14236552057068325,0.5382011997405967,CANCER_higher,0.04978281777449111,0.11149108744801652,0.09471067310697384,0.71,0.3473946612096446,0.007795466301541154,14.591798519017175,0.027981064905515895,2.1230468910653144,-0.022083931422904362,0.05006499632842026,20
