model_name,split_id,evaluation_mode,roc_auc,pr_auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity_target,specificity_target,balanced_accuracy_target,ppv_target,npv_target,tp_target,tn_target,fp_target,fn_target,train_patients,test_patients,train_target_cases,test_target_cases,train_cancer_target_cases,test_cancer_target_cases,threshold_youden,threshold_target,target_sensitivity,target_reached,selected_lr1_c,selected_lr2_c
aramina_target_breast_risk,12,stratified_kfold,0.7039473684210525,0.6896870797834954,0.2232314475181285,0.6531550251767899,-0.14068809298571386,0.5299177881571757,0.8125,0.42105263157894735,0.6167763157894737,0.5416666666666666,0.7272727272727273,13,8,11,3,131,33,140,35,60,16,0.7079201812620183,0.2748700232374012,0.95,True,0.1,0.3
aramina_target_breast_risk,13,stratified_kfold,0.6266666666666667,0.6339976912483958,0.2535859822801889,0.713066716402791,-0.2232046992030961,0.393983557239429,0.8,0.4,0.6000000000000001,0.5,0.7272727272727273,12,8,12,3,131,33,140,35,61,15,0.5801136651546328,0.3299138308363954,0.95,True,0.1,0.3
aramina_target_breast_risk,14,stratified_kfold,0.6703703703703704,0.5917168893484683,0.2333309589195999,0.6581654913344892,-0.16018559046700692,0.5612224905515371,0.9333333333333333,0.3333333333333333,0.6333333333333333,0.5384615384615384,0.8571428571428571,14,6,12,1,132,32,142,33,61,15,0.49974503358778316,0.24110173442690422,0.95,True,0.1,0.3
aramina_target_breast_risk,15,stratified_kfold,0.6,0.4769096885608753,0.26444267624437395,0.7483798049635949,-0.1531395332594097,0.30355172805238795,0.8,0.5,0.65,0.5454545454545454,0.7692307692307693,12,10,10,3,131,33,140,35,61,15,0.5998303431393138,0.2834346784518755,0.95,True,0.1,0.3
aramina_target_breast_risk,16,stratified_kfold,0.7333333333333333,0.7086980274627334,0.2147942297827225,0.6436437565597948,0.0124529051086282,0.5627479091103637,0.8,0.55,0.675,0.5714285714285714,0.7857142857142857,12,11,9,3,131,33,140,35,61,15,0.5629531849566635,0.2954346492475438,0.95,True,0.1,0.3
aramina_target_breast_risk,17,stratified_kfold,0.631578947368421,0.6766346615423059,0.2875789167547611,0.797669359637924,-0.15244328963230266,0.28889593469627856,0.6875,0.3157894736842105,0.5016447368421053,0.4583333333333333,0.5454545454545454,11,6,13,5,131,33,140,35,60,16,0.4389667973325892,0.26532945344981845,0.95,True,0.1,0.3
aramina_target_breast_risk,18,stratified_kfold,0.6733333333333333,0.6312808881515974,0.2305012434034112,0.6431762462230696,-0.4161129151574038,0.6784539504855603,1.0,0.25,0.625,0.5,1.0,15,5,15,0,131,33,140,35,61,15,0.5087443219989516,0.23738790971914633,0.95,True,0.1,0.3
aramina_target_breast_risk,19,stratified_kfold,0.6366666666666667,0.6672366011181801,0.2635910960845811,0.7611476336393118,-0.35953727529927004,0.35161978816357525,0.7333333333333333,0.45,0.5916666666666667,0.5,0.6923076923076923,11,9,11,4,132,32,140,35,61,15,0.6178562982242105,0.29976020789672225,0.95,True,0.1,0.3
aramina_target_breast_risk,20,stratified_kfold,0.6877192982456141,0.6996877142465378,0.23475924554638306,0.7738540551511048,-0.185699507768836,0.2942604171209098,0.8,0.47368421052631576,0.6368421052631579,0.5454545454545454,0.75,12,9,10,3,131,33,141,34,61,15,0.4323259371731498,0.346688433834203,0.95,True,0.1,0.3
aramina_target_breast_risk,21,stratified_kfold,0.6571428571428573,0.5598246835835534,0.23676195054336654,0.6885665992317015,-0.18642909310011582,0.4254566377351322,0.7333333333333333,0.42857142857142855,0.5809523809523809,0.4782608695652174,0.6923076923076923,11,9,12,4,131,33,139,36,61,15,0.44011330252544856,0.3637744209605358,0.95,True,0.1,0.3
aramina_target_breast_risk,22,stratified_kfold,0.6180555555555556,0.5600364785784677,0.26076309524711444,0.7464818692543502,0.07233250658398133,0.344447241598124,0.75,0.6111111111111112,0.6805555555555556,0.631578947368421,0.7333333333333333,12,11,7,4,131,33,141,34,60,16,0.3762624336291483,0.3360604702334803,0.95,True,0.1,0.3
aramina_target_breast_risk,23,stratified_kfold,0.7066666666666667,0.6768279676900366,0.23649640034328487,0.662481394546097,-0.169465433185699,0.48784689492657257,0.8,0.35,0.575,0.48,0.7,12,7,13,3,131,33,140,35,61,15,0.4316071033333373,0.24870553331659528,0.95,True,0.1,0.3
aramina_target_breast_risk,24,stratified_kfold,0.6158730158730159,0.5084033482437964,0.24656548964385758,0.6825870105046423,-0.42423317661298854,0.525794103591771,0.9333333333333333,0.38095238095238093,0.6571428571428571,0.5185185185185185,0.8888888888888888,14,8,13,1,132,32,139,36,61,15,0.398994914611026,0.31590765594537995,0.95,True,0.1,0.3
aramina_target_breast_risk,25,stratified_kfold,0.7444444444444445,0.7590434649809359,0.2127790053919066,0.6176693659419076,0.1754808723230559,0.7702251232172046,0.8666666666666667,0.5555555555555556,0.7111111111111111,0.6190476190476191,0.8333333333333334,13,10,8,2,131,33,142,33,61,15,0.4331055584931515,0.25669836480515623,0.95,True,0.1,0.3
aramina_target_breast_risk,26,stratified_kfold,0.7,0.6647796612768562,0.25360711299202865,0.719293543816685,-0.4638626595147551,0.43505091442984106,0.8666666666666667,0.45454545454545453,0.6606060606060606,0.52,0.8333333333333334,13,10,12,2,131,33,138,37,61,15,0.5293391475302577,0.35692099520034354,0.95,True,0.1,0.3
aramina_target_breast_risk,27,stratified_kfold,0.6875,0.6211527257420877,0.22368869536614175,0.6386499162999346,-0.2714493162129349,0.682504419903591,0.875,0.38095238095238093,0.6279761904761905,0.5185185185185185,0.8,14,8,13,2,131,33,138,37,60,16,0.4007002688501072,0.340487191221707,0.95,True,0.1,0.3
aramina_target_breast_risk,28,stratified_kfold,0.674074074074074,0.6706906264423389,0.236392152484244,0.6719824282385182,-0.09373407139221684,0.5137218256883564,0.8666666666666667,0.2777777777777778,0.5722222222222222,0.5,0.7142857142857143,13,5,13,2,131,33,142,33,61,15,0.5049149787275217,0.2810088984839914,0.95,True,0.1,0.3
aramina_target_breast_risk,29,stratified_kfold,0.5533333333333335,0.4696511727783075,0.3114903296491986,0.8769037049562233,-0.2884951227036587,0.09204165602204854,0.6666666666666666,0.4,0.5333333333333333,0.45454545454545453,0.6153846153846154,10,8,12,5,132,32,140,35,61,15,0.4699485532485907,0.2872033422686289,0.95,True,0.1,0.3
aramina_target_breast_risk,30,stratified_kfold,0.6599999999999999,0.6234197012138188,0.2391395460658376,0.7114550935397156,-0.22643838804129054,0.39044053715377347,0.8666666666666667,0.35,0.6083333333333334,0.5,0.7777777777777778,13,7,13,2,131,33,140,35,61,15,0.4879728937077418,0.29349119159637077,0.95,True,0.1,0.3
