profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_10,outer_fold,4,1,0.5964605509596447,0.5964605509596447
fpca256_10,outer_fold,4,2,0.28623275108957713,0.8826933020492218
fpca256_10,outer_fold,4,3,0.03932317964404907,0.9220164816932709
fpca256_10,outer_fold,4,4,0.02011101321259814,0.942127494905869
fpca256_10,outer_fold,4,5,0.004790526309390847,0.9469180212152598
fpca256_10,outer_fold,4,6,0.0019161228211658655,0.9488341440364256
fpca256_10,outer_fold,4,7,0.0012327173163517802,0.9500668613527774
fpca256_10,outer_fold,4,8,0.0010008949768717534,0.9510677563296491
fpca256_10,outer_fold,4,9,0.0009372158393357464,0.9520049721689848
fpca256_10,outer_fold,4,10,0.00089880975105653,0.9529037819200413
fpca256_10,outer_fold,5,1,0.5879859630762065,0.5879859630762065
fpca256_10,outer_fold,5,2,0.2921079650890808,0.8800939281652873
fpca256_10,outer_fold,5,3,0.040312163619431726,0.920406091784719
fpca256_10,outer_fold,5,4,0.021331977623874253,0.9417380694085933
fpca256_10,outer_fold,5,5,0.005191272591552955,0.9469293420001462
fpca256_10,outer_fold,5,6,0.0019628269204308197,0.948892168920577
fpca256_10,outer_fold,5,7,0.0012266512047415213,0.9501188201253186
fpca256_10,outer_fold,5,8,0.0010138800582991801,0.9511327001836177
fpca256_10,outer_fold,5,9,0.0009583381565704262,0.9520910383401882
fpca256_10,outer_fold,5,10,0.0009101398411979983,0.9530011781813862
fpca256_10,outer_fold,6,1,0.5897521810305486,0.5897521810305486
fpca256_10,outer_fold,6,2,0.2902738042987831,0.8800259853293317
fpca256_10,outer_fold,6,3,0.04096815273125036,0.9209941380605821
fpca256_10,outer_fold,6,4,0.020289666346625174,0.9412838044072073
fpca256_10,outer_fold,6,5,0.004938466801883668,0.946222271209091
fpca256_10,outer_fold,6,6,0.0018283318964486379,0.9480506031055396
fpca256_10,outer_fold,6,7,0.0013041321754413127,0.9493547352809809
fpca256_10,outer_fold,6,8,0.0010322245793411345,0.9503869598603221
fpca256_10,outer_fold,6,9,0.0009579023077957285,0.9513448621681178
fpca256_10,outer_fold,6,10,0.0009302319093212921,0.952275094077439
fpca256_10,outer_fold,7,1,0.5771827701367418,0.5771827701367418
fpca256_10,outer_fold,7,2,0.30528478570677914,0.8824675558435209
fpca256_10,outer_fold,7,3,0.040582800726216284,0.9230503565697372
fpca256_10,outer_fold,7,4,0.01877024449243422,0.9418206010621715
fpca256_10,outer_fold,7,5,0.005262495149270706,0.9470830962114422
fpca256_10,outer_fold,7,6,0.0016627807180510886,0.9487458769294932
fpca256_10,outer_fold,7,7,0.0012186247281797714,0.949964501657673
fpca256_10,outer_fold,7,8,0.0010431581862779564,0.951007659843951
fpca256_10,outer_fold,7,9,0.000979542932118682,0.9519872027760696
fpca256_10,outer_fold,7,10,0.0008976042050886414,0.9528848069811583
fpca256_10,outer_fold,8,1,0.6101373542986904,0.6101373542986904
fpca256_10,outer_fold,8,2,0.2757407557137347,0.8858781100124251
fpca256_10,outer_fold,8,3,0.03794258443850088,0.923820694450926
fpca256_10,outer_fold,8,4,0.020385708677643003,0.944206403128569
fpca256_10,outer_fold,8,5,0.005024205826676715,0.9492306089552457
fpca256_10,outer_fold,8,6,0.0018647654072067757,0.9510953743624525
fpca256_10,outer_fold,8,7,0.0011928326994248208,0.9522882070618773
fpca256_10,outer_fold,8,8,0.0010160553468088526,0.9533042624086862
fpca256_10,outer_fold,8,9,0.0009087141742671582,0.9542129765829533
fpca256_10,outer_fold,8,10,0.0008714051943202123,0.9550843817772735
fpca256_10,outer_fold,9,1,0.5868432629808605,0.5868432629808605
fpca256_10,outer_fold,9,2,0.2975547456883167,0.8843980086691772
fpca256_10,outer_fold,9,3,0.039639969051815487,0.9240379777209926
fpca256_10,outer_fold,9,4,0.019985444289699866,0.9440234220106924
fpca256_10,outer_fold,9,5,0.004911232374156068,0.9489346543848485
fpca256_10,outer_fold,9,6,0.0019458640501518766,0.9508805184350003
fpca256_10,outer_fold,9,7,0.0012453168236430125,0.9521258352586434
fpca256_10,outer_fold,9,8,0.0010061050351364389,0.9531319402937798
fpca256_10,outer_fold,9,9,0.0009361442840519384,0.9540680845778318
fpca256_10,outer_fold,9,10,0.0008782025804729958,0.9549462871583048
fpca256_10,outer_fold,10,1,0.5885680596684737,0.5885680596684737
fpca256_10,outer_fold,10,2,0.2960405286895166,0.8846085883579903
fpca256_10,outer_fold,10,3,0.03835424643317033,0.9229628347911606
fpca256_10,outer_fold,10,4,0.02064737413238207,0.9436102089235426
fpca256_10,outer_fold,10,5,0.004751916765811968,0.9483621256893546
fpca256_10,outer_fold,10,6,0.001969867808490645,0.9503319934978453
fpca256_10,outer_fold,10,7,0.0013061201142875883,0.9516381136121328
fpca256_10,outer_fold,10,8,0.0010104546965942509,0.952648568308727
fpca256_10,outer_fold,10,9,0.0009454983179498536,0.9535940666266769
fpca256_10,outer_fold,10,10,0.0008642038960042814,0.9544582705226812
fpca256_10,outer_fold,11,1,0.5730607367003837,0.5730607367003837
fpca256_10,outer_fold,11,2,0.3112986924382728,0.8843594291386565
fpca256_10,outer_fold,11,3,0.04038469333563248,0.9247441224742889
fpca256_10,outer_fold,11,4,0.018990991740534268,0.9437351142148233
fpca256_10,outer_fold,11,5,0.004902531892273345,0.9486376461070966
fpca256_10,outer_fold,11,6,0.0017369823177528082,0.9503746284248493
fpca256_10,outer_fold,11,7,0.001190743833426925,0.9515653722582762
fpca256_10,outer_fold,11,8,0.0009960790870284768,0.9525614513453047
fpca256_10,outer_fold,11,9,0.0009389856473349271,0.9535004369926396
fpca256_10,outer_fold,11,10,0.0008866118891844364,0.9543870488818241
fpca256_10,outer_fold,12,1,0.5691819089645016,0.5691819089645016
fpca256_10,outer_fold,12,2,0.30800707230816726,0.8771889812726689
fpca256_10,outer_fold,12,3,0.04300297853213367,0.9201919598048025
fpca256_10,outer_fold,12,4,0.02035752646269673,0.9405494862674992
fpca256_10,outer_fold,12,5,0.0053048266600901756,0.9458543129275894
fpca256_10,outer_fold,12,6,0.0017003381181197278,0.9475546510457091
fpca256_10,outer_fold,12,7,0.001271776055484416,0.9488264271011936
fpca256_10,outer_fold,12,8,0.001051632753098553,0.9498780598542922
fpca256_10,outer_fold,12,9,0.0009539038478514407,0.9508319637021436
fpca256_10,outer_fold,12,10,0.0009189737248377321,0.9517509374269814
fpca256_10,outer_fold,13,1,0.613106845880898,0.613106845880898
fpca256_10,outer_fold,13,2,0.2783140340021813,0.8914208798830794
fpca256_10,outer_fold,13,3,0.03437045157087419,0.9257913314539535
fpca256_10,outer_fold,13,4,0.018782764213710324,0.9445740956676638
fpca256_10,outer_fold,13,5,0.004837930553677113,0.9494120262213409
fpca256_10,outer_fold,13,6,0.001803363179428959,0.9512153894007699
fpca256_10,outer_fold,13,7,0.0011834967818874532,0.9523988861826573
fpca256_10,outer_fold,13,8,0.0009472494040020261,0.9533461355866594
fpca256_10,outer_fold,13,9,0.0008733797543491423,0.9542195153410085
fpca256_10,outer_fold,13,10,0.0008519977220537977,0.9550715130630623
fpca256_10,outer_fold,14,1,0.6013671311855737,0.6013671311855737
fpca256_10,outer_fold,14,2,0.2731886261743665,0.8745557573599403
fpca256_10,outer_fold,14,3,0.04431292822214895,0.9188686855820892
fpca256_10,outer_fold,14,4,0.021815340910137614,0.9406840264922268
