cohort,profile_encoder,split_id,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,threshold_target,true_positives,true_negatives,false_positives,false_negatives
common,raw100,25,0.6944444444444445,0.6646452966284174,0.7857142857142857,0.3333333333333333,0.5595238095238095,0.4782608695652174,0.6666666666666666,0.22921449324268736,0.6993066469496694,-0.14649058504592552,0.4290284736863908,0.2565333902301778,11,6,12,3
common,raw100,26,0.7781954887218046,0.7048279478677725,1.0,0.3157894736842105,0.6578947368421053,0.5185185185185185,1.0,0.1926638383974675,0.5711904644938739,-0.3274355606654993,0.6862978206309535,0.21941909559783754,14,6,13,0
common,raw100,27,0.6,0.5422141727223816,0.7333333333333333,0.3181818181818182,0.5257575757575758,0.4230769230769231,0.6363636363636364,0.2650417036768642,0.7427071374209472,-0.2883614650877137,0.30030765814177296,0.24705843536734493,11,7,15,4
common,raw100,28,0.7394957983193278,0.6531754732318642,0.9285714285714286,0.5294117647058824,0.7289915966386555,0.6190476190476191,0.9,0.21385800914369843,0.6102092056761576,0.055183451928663814,0.6052766306380236,0.24690443246867003,13,9,8,1
common,raw100,29,0.7307692307692308,0.683464598771504,1.0,0.3333333333333333,0.6666666666666666,0.52,1.0,0.21964801812734192,0.6251363846869019,-0.5013625686065026,0.8088852097409666,0.28218177816779993,13,6,12,0
common,raw100,30,0.7593984962406015,0.6492764695744572,1.0,0.3157894736842105,0.6578947368421053,0.5185185185185185,1.0,0.203482404176382,0.5975106068198973,-0.6641952681644608,0.9657347499526224,0.25518635524352734,14,6,13,0
common,raw100,31,0.5964912280701755,0.5266105191105191,0.7333333333333333,0.5263157894736842,0.6298245614035087,0.55,0.7142857142857143,0.26995141455604443,0.7583101499746742,-0.19982127146637657,0.3240452062545519,0.3575318910647213,11,10,9,4
common,raw100,32,0.7706766917293233,0.7575089387897269,0.9285714285714286,0.42105263157894735,0.674812030075188,0.5416666666666666,0.8888888888888888,0.19839293233689076,0.5659030201445037,-0.4215591698095954,0.9257644827453761,0.30043730102859295,13,8,11,1
common,raw100,33,0.5992063492063492,0.5891405953062229,0.6428571428571429,0.5,0.5714285714285714,0.5,0.6428571428571429,0.26823642576746004,0.7902993115728503,-0.11527985953424258,0.23730550681738896,0.366390093913236,9,9,9,5
common,raw100,34,0.6720647773279352,0.5833733560406988,0.6923076923076923,0.631578947368421,0.6619433198380567,0.5625,0.75,0.2322354278770784,0.6929359355233289,-0.17232911399182962,0.41860210693393574,0.3135658167213627,9,12,7,4
common,raw100,35,0.6392857142857142,0.4767930861257929,0.8571428571428571,0.45,0.6535714285714286,0.5217391304347826,0.8181818181818182,0.261395422816106,0.7688459298757725,-0.33403139292667133,0.3118146031409313,0.283729615131142,12,9,11,2
common,raw100,36,0.7261904761904763,0.7116252725324054,0.9285714285714286,0.4444444444444444,0.6865079365079365,0.5652173913043478,0.8888888888888888,0.21255506415451253,0.6208018356359712,-0.26899830916361916,0.7413505452261075,0.3290665193623087,13,8,10,1
common,raw100,37,0.6825396825396827,0.6719270431146636,0.7857142857142857,0.3888888888888889,0.5873015873015873,0.5,0.7,0.24039665546330324,0.7065166165643142,-0.15504137595115458,0.4084716596205753,0.2848887546183807,11,7,11,3
common,raw100,38,0.8015873015873016,0.8013686717719417,0.9285714285714286,0.3888888888888889,0.6587301587301587,0.5416666666666666,0.875,0.17771939668677011,0.5366512054766512,-0.024446590776167863,1.0920785673040265,0.23763792540820433,13,7,11,1
common,raw100,39,0.6285714285714286,0.5556574300409488,0.9285714285714286,0.25,0.5892857142857143,0.4642857142857143,0.8333333333333334,0.25306371126725913,0.7021299957577862,-0.2799805425624724,0.39920857958398287,0.2667066026415544,13,5,15,1
common,raw100,40,0.772108843537415,0.6627055931779433,0.8571428571428571,0.19047619047619047,0.5238095238095237,0.41379310344827586,0.6666666666666666,0.2293445170197116,0.6644907214018165,-0.6877940256457012,0.6996659282337452,0.2679852320608412,12,4,17,2
common,raw100,41,0.5753968253968254,0.5510666828580185,0.6428571428571429,0.5,0.5714285714285714,0.5,0.6428571428571429,0.304344988033178,0.8730510596334653,-0.17768126114124363,0.19674865249902868,0.39401887767978555,9,9,9,5
common,raw100,42,0.6592592592592593,0.5560849738496798,0.8,0.4444444444444444,0.6222222222222222,0.5454545454545454,0.7272727272727273,0.2569109527918024,0.8148816470928155,-0.22387462743722,0.2409254157573419,0.2829854014317848,12,8,10,3
common,raw100,43,0.8134920634920635,0.8470554405337014,0.7857142857142857,0.5555555555555556,0.6706349206349207,0.5789473684210527,0.7692307692307693,0.17731056888200689,0.5438421617375551,0.38466246510060087,1.0338310201396903,0.2542873176584131,11,10,8,3
